uid,split,cell_line,density_bin,model,pred_exists,gt_path,pred_path,obj_tp,obj_fp,obj_fn,obj_ignored,obj_precision,obj_recall,obj_f1,pred_count,gt_count,count_abs_error,count_ape,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,cand_pairs,cand_preds,cand_gts
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_100.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_100.png,57,4,6,18,0.9344262294928783,0.9047619047475435,0.9193548387096774,79,63,16.0,25.396825396825395,445,7665,374,5005020,0.054870530209617754,0.5433455433455433,0.0996752155896517,0.052451673738802454,0.0996752155896517,101,75,59
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,10-49,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_101.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_101.png,35,5,10,9,0.874999999978125,0.7777777777604938,0.8235294117647058,49,45,4.0,8.88888888888889,292,3283,293,5009636,0.08167832167832167,0.49914529914529915,0.14038461538461536,0.07549120992761117,0.14038461538461539,54,44,38
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,10-49,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_103.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_103.png,38,3,1,4,0.9268292682700774,0.9743589743339909,0.95,45,39,6.0,15.384615384615385,314,3749,193,5009248,0.07728279596357371,0.6193293885601578,0.13741794310722102,0.0737781954887218,0.137417943107221,50,42,38
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_105.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_105.png,53,8,6,8,0.86885245900215,0.8983050847305373,0.8833333333333333,69,59,10.0,16.949152542372882,452,2729,315,5010008,0.1420936812323169,0.5893089960886571,0.22897669706180343,0.12929061784897025,0.22897669706180346,78,61,56
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_109.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_109.png,41,1,30,11,0.9761904761672336,0.577464788724261,0.7256637168141593,53,71,18.0,25.35211267605634,272,3067,651,5009514,0.08146151542377958,0.29469122426868904,0.12763960581886438,0.06817042606516291,0.12763960581886438,73,52,44
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,10-49,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_110.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_110.png,20,4,7,2,0.8333333332986111,0.7407407407133059,0.7843137254901961,26,27,1.0,3.7037037037037037,135,1160,216,5011993,0.10424710424710425,0.38461538461538464,0.16403402187120292,0.08934480476505625,0.16403402187120292,27,22,20
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_111.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_111.png,64,4,16,8,0.9411764705743945,0.7999999999899999,0.8648648648648649,76,80,4.0,5.0,688,9917,352,5002547,0.06487505893446488,0.6615384615384615,0.11816230141691714,0.0627909099205987,0.11816230141691714,116,72,77
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_112.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_112.png,68,0,15,4,0.9999999999852941,0.8192771084238641,0.9006622516556292,72,83,11.0,13.25301204819277,600,5349,479,5007076,0.10085728693898134,0.5560704355885079,0.1707455890722823,0.09334163036714374,0.1707455890722823,109,72,76
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,50-149,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_114.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_114.png,84,3,23,6,0.9655172413682124,0.7850467289646257,0.865979381443299,93,107,14.0,13.08411214953271,737,7033,654,5005080,0.09485199485199486,0.5298346513299784,0.16089946512389477,0.08748812915479583,0.16089946512389477,139,90,96
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,10-49,Classic (after opt),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_12.tif,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/harmonized_masks/classical/colo320dm_qpcr_jq1_24h_ctrl_12.png,14,2,2,3,0.8749999999453125,0.8749999999453125,0.875,19,16,3.0,18.75,177,2322,31,5010974,0.07082833133253301,0.8509615384615384,0.13077207240487626,0.0699604743083004,0.13077207240487626,24,17,16
