train_tp,train_fp,train_fn,train_ignored_pred,train_precision,train_recall,train_f1,train_n_images,val_tp,val_fp,val_fn,val_ignored_pred,val_precision,val_recall,val_f1,val_n_images,test_tp,test_fp,test_fn,test_ignored_pred,test_precision,test_recall,test_f1,test_n_images,cell_line,combo_id,threshold_factor,morph_close_kernel,min_area,max_area,merge_distance
15131,4187,5440,935,0.7832591365565793,0.7355500461815176,0.758655268369726,100,7981,2628,2584,502,0.7522857950796493,0.755418835778514,0.7538490601681307,50,7913,3367,2573,494,0.7015070921985815,0.7546252145718101,0.7270973077276486,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,1.0,5.0,3.0,900.0,5.0
9413,862,11158,45,0.9161070559610706,0.45758592192892905,0.6103222459962394,100,4692,503,5873,25,0.9031761308950914,0.4441079034548036,0.5954314720812183,50,4498,628,5988,20,0.8774873195474053,0.42895288956704175,0.5762234178836793,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,0.9745401188473625,15.0,22.0,639.0,3.1203728088487304
12975,2898,7596,192,0.8174258174258174,0.6307423071313986,0.712051366480079,100,6945,1714,3620,136,0.8020556646264003,0.657359204921912,0.7225343320848939,50,6789,2056,3697,105,0.767552289429056,0.6474346748045012,0.7023951166520097,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,0.7559945203362026,3.0,26.0,641.0,14.161451555920909
7995,1217,12576,40,0.8678897090751194,0.3886539302902144,0.5368834570056744,100,3719,561,6846,14,0.8689252336448599,0.35201135825840035,0.501044122600202,50,3720,737,6766,11,0.8346421359658963,0.35475872592027463,0.49789198956032926,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,0.6205844942958024,15.0,25.0,291.0,3.6364993441420124
13576,2310,6995,320,0.854588946241974,0.6599581935734772,0.7447678086512878,100,7149,1303,3416,215,0.8458353052531945,0.6766682442025556,0.7518536046695062,50,6973,1617,3513,168,0.8117578579743888,0.6649818806027084,0.7310756972111554,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,0.7834045098534338,5.0,16.0,489.0,5.824582803960839
14442,3234,6129,505,0.8170400543109301,0.7020562928394342,0.7551964859989019,100,7659,2128,2906,296,0.7825687135996731,0.7249408424041647,0.7526533018867925,50,7426,2673,3060,320,0.7353203287454203,0.7081823383559032,0.7214962351226621,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,1.2118528947223794,3.0,9.0,430.0,9.12139968434072
12494,3000,8077,219,0.8063766619336518,0.6073598755529629,0.6928601136836268,100,6697,1862,3868,140,0.7824512209370253,0.6338854708944629,0.7003764902740013,50,6339,2363,4147,132,0.7284532291427258,0.6045203127980164,0.6607254534083803,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,1.3851759613930135,5.0,16.0,633.0,0.9290082543999545
12839,3739,7732,112,0.7744601278803234,0.6241310582859365,0.691216452663598,100,6824,2389,3741,61,0.7406924997286443,0.6459062943681969,0.6900596622509859,50,6690,3056,3796,102,0.6864354607018264,0.6379935151630746,0.6613285883748518,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,1.2075448519014382,3.0,3.0,954.0,19.312640661491187
14388,3832,6183,604,0.7896816684961581,0.6994312381507948,0.7418215565466216,100,7635,2410,2930,347,0.7600796416127427,0.722669190724089,0.7409024745269287,50,7198,3128,3288,325,0.6970753437923688,0.6864390616059508,0.6917163175091293,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,1.4083973481164611,5.0,4.0,716.0,8.803049874792027
13241,3136,7330,746,0.8085119374732858,0.6436731320791406,0.7167370358341453,100,6628,1654,3937,320,0.8002897850760686,0.6273544723142451,0.7033480129463575,50,6528,2368,3958,304,0.7338129496402878,0.6225443448407401,0.673614694046022,50,NCI-H2170,apply_bilateral_filter__remove_background__apply_gamma__apply_sharpening,0.7220382348447788,9.0,2.0,918.0,5.175599632000338
