train_tp,train_fp,train_fn,train_ignored_pred,train_precision,train_recall,train_f1,train_n_images,val_tp,val_fp,val_fn,val_ignored_pred,val_precision,val_recall,val_f1,val_n_images,test_tp,test_fp,test_fn,test_ignored_pred,test_precision,test_recall,test_f1,test_n_images,cell_line,combo_id,threshold_factor,morph_close_kernel,min_area,max_area,merge_distance
9047,994,891,1480,0.901005875908774,0.9103441336284966,0.9056509334801541,49,1529,244,171,186,0.862380146644106,0.8994117647058824,0.8805067664843075,10,1548,193,154,243,0.8891441700172314,0.9095182138660399,0.8992158001742666,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.0,5.0,3.0,900.0,5.0
6386,354,3552,14,0.9474777448071217,0.6425840209297645,0.7657992565055762,49,1111,101,589,4,0.9166666666666666,0.6535294117647059,0.7630494505494505,10,1125,44,577,2,0.962360992301112,0.6609870740305523,0.7836990595611285,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,0.9745401188473625,15.0,22.0,639.0,3.1203728088487304
7162,436,2776,47,0.9426164780205317,0.7206681424833971,0.8168339416058394,49,1214,112,486,8,0.9155354449472096,0.7141176470588235,0.8023793787177792,10,1261,47,441,14,0.9640672782874617,0.7408930669800236,0.837873754152824,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,0.7559945203362026,3.0,26.0,641.0,14.161451555920909
5918,788,4020,26,0.8824932895914107,0.5954920507144295,0.711127132900745,49,1028,144,672,6,0.8771331058020477,0.6047058823529412,0.7158774373259053,10,1029,155,673,4,0.8690878378378378,0.6045828437132785,0.7130977130977131,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,0.6205844942958024,15.0,25.0,291.0,3.6364993441420124
8178,680,1760,354,0.9232332354933394,0.822901992352586,0.8701851457756969,49,1395,181,305,48,0.8851522842639594,0.8205882352941176,0.8516483516483516,10,1418,107,284,65,0.9298360655737705,0.8331374853113983,0.8788348311124884,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,0.7834045098534338,5.0,16.0,489.0,5.824582803960839
8291,443,1647,545,0.9492786810167163,0.8342724894344938,0.8880676949443016,49,1397,109,303,68,0.9276228419654714,0.821764705882353,0.8714909544603868,10,1439,53,263,97,0.9644772117962467,0.845475910693302,0.9010644959298685,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.2118528947223794,3.0,9.0,430.0,9.12139968434072
6855,241,3083,176,0.9660372040586246,0.6897766150130811,0.8048608665022895,49,1151,56,549,25,0.9536039768019884,0.6770588235294117,0.7918816649466804,10,1186,25,516,40,0.9793559042113955,0.6968272620446534,0.8142808101613457,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.3851759613930135,5.0,16.0,633.0,0.9290082543999545
7302,522,2636,27,0.933282208588957,0.734755484000805,0.822204706677176,49,1244,133,456,2,0.9034132171387074,0.731764705882353,0.8085797855053624,10,1272,102,430,5,0.925764192139738,0.7473560517038778,0.8270481144343304,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.2075448519014382,3.0,3.0,954.0,19.312640661491187
8440,446,1498,687,0.9498086878235427,0.8492654457637352,0.8967275818104548,49,1409,103,291,90,0.9318783068783069,0.8288235294117647,0.8773349937733499,10,1458,66,244,115,0.9566929133858267,0.8566392479435958,0.9039057656540608,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.4083973481164611,5.0,4.0,716.0,8.803049874792027
8444,2332,1494,1496,0.7835931700074239,0.8496679412356611,0.8152940040552283,49,1468,568,232,227,0.7210216110019646,0.8635294117647059,0.7858672376873662,10,1463,523,239,274,0.7366565961732124,0.8595769682726204,0.7933839479392625,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,0.7220382348447788,9.0,2.0,918.0,5.175599632000338
7188,296,2750,208,0.96044895777659,0.7232843630509157,0.825163586270233,49,1212,75,488,31,0.9417249417249417,0.7129411764705882,0.8115165718111818,10,1249,28,453,49,0.9780736100234926,0.7338425381903643,0.8385364216179926,11,NCI-H716,apply_gamma__remove_background__apply_sharpening,1.2625222843539818,5.0,16.0,592.0,3.697089110510541
