train_tp,train_fp,train_fn,train_ignored_pred,train_precision,train_recall,train_f1,train_n_images,val_tp,val_fp,val_fn,val_ignored_pred,val_precision,val_recall,val_f1,val_n_images,test_tp,test_fp,test_fn,test_ignored_pred,test_precision,test_recall,test_f1,test_n_images,cell_line,combo_id,threshold_factor,morph_close_kernel,min_area,max_area,merge_distance
20943,2265,3694,2487,0.9024043433298863,0.8500629135040793,0.8754519803532239,86,4450,599,762,753,0.8813626460685284,0.8537989255564082,0.8673618555696326,18,4298,627,726,539,0.8726903553299492,0.8554936305732485,0.8640064328073174,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,1.0,5.0,3.0,900.0,5.0
10717,632,13920,21,0.9443122742091814,0.4349961440110403,0.5956205190907575,86,2342,160,2870,4,0.9360511590727418,0.4493476592478895,0.6072076743583096,18,2326,122,2698,7,0.9501633986928104,0.4629777070063694,0.6225910064239829,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,0.9745401188473625,15.0,22.0,639.0,3.1203728088487304
9522,464,15115,32,0.9535349489284999,0.38649186183382717,0.5500389914218872,86,2009,105,3203,6,0.9503311258278145,0.3854566385264774,0.5484575484575485,18,2145,170,2879,9,0.9265658747300216,0.42695063694267515,0.5845483035835944,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,0.7559945203362026,3.0,26.0,641.0,14.161451555920909
10748,1013,13889,42,0.9138678683785393,0.4362544140926249,0.5905819001044014,86,2330,210,2882,4,0.9173228346456693,0.44704528012279354,0.6011351909184727,18,2352,192,2672,12,0.9245283018867925,0.4681528662420382,0.6215644820295984,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,0.6205844942958024,15.0,25.0,291.0,3.6364993441420124
14903,1004,9734,221,0.9368831332117935,0.6049031943824329,0.7351519337016574,86,3148,251,2064,65,0.9261547513974698,0.6039907904834996,0.7311578213912437,18,3217,252,1807,64,0.927356586912655,0.6403264331210191,0.7575650535735311,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,0.7834045098534338,5.0,16.0,489.0,5.824582803960839
16242,866,8395,309,0.9493804068272154,0.6592523440353939,0.7781530722242185,86,3437,208,1775,93,0.9429355281207134,0.6594397544128934,0.7761092920853562,18,3452,289,1572,75,0.9227479283614007,0.6871019108280255,0.7876782658300057,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,1.2118528947223794,3.0,9.0,430.0,9.12139968434072
11670,448,12967,85,0.963030203003796,0.4736778016803994,0.6350156441300503,86,2513,106,2699,26,0.9595265368461244,0.48215656178050653,0.6418081981866939,18,2521,152,2503,27,0.9431350542461654,0.5017914012738853,0.6550604131479797,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,1.3851759613930135,5.0,16.0,633.0,0.9290082543999545
15028,1235,9609,52,0.9240607513988809,0.6099768640662419,0.7348655256723716,86,3184,350,2028,12,0.9009620826259196,0.6108979278587874,0.7281042762405671,18,3158,317,1866,13,0.9087769784172662,0.6285828025477707,0.7431462525002942,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,1.2075448519014382,3.0,3.0,954.0,19.312640661491187
18242,1201,6395,626,0.9382296970632104,0.7404310589763364,0.8276769509981852,86,3883,298,1329,193,0.9287251853623535,0.7450115118956255,0.8267859043968913,18,3817,348,1207,150,0.9164465786314526,0.7597531847133758,0.8307759277396888,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,1.4083973481164611,5.0,4.0,716.0,8.803049874792027
20785,3751,3852,2101,0.8471225953700685,0.8436497950237448,0.8453826286783397,86,4412,982,800,637,0.8179458657767891,0.8465080583269379,0.8319818970394116,18,4231,749,793,416,0.8495983935742972,0.8421576433121019,0.8458616553378648,19,SNU16,clahe__remove_background__apply_gamma__apply_sigmoid,0.7220382348447788,9.0,2.0,918.0,5.175599632000338
