epoch,train_loss,val_loss,lr,best_val_loss,best_epoch,elapsed_s
1,1.177501,1.115594,0.0001,1.115594,1,107.9
2,1.082926,1.054846,0.0001,1.054846,2,78.5
3,1.032087,1.011814,0.0001,1.011814,3,78.9
4,0.988818,0.968732,0.0001,0.968732,4,79.1
5,0.936365,0.905721,0.0001,0.905721,5,79.2
6,0.857891,0.815575,0.0001,0.815575,6,79.0
7,0.773634,0.741901,0.0001,0.741901,7,78.7
8,0.71957,0.701992,0.0001,0.701992,8,78.7
9,0.692405,0.680277,0.0001,0.680277,9,78.6
10,0.679398,0.670821,0.0001,0.670821,10,78.6
11,0.671056,0.666075,0.0001,0.666075,11,78.6
12,0.666263,0.662008,0.0001,0.662008,12,78.6
13,0.663143,0.659991,0.0001,0.659991,13,78.6
14,0.660358,0.655325,0.0001,0.655325,14,78.7
15,0.659037,0.653843,0.0001,0.653843,15,78.6
16,0.656465,0.656635,0.0001,0.653843,15,78.7
17,0.655452,0.654514,0.0001,0.653843,15,78.7
18,0.654481,0.649586,0.0001,0.649586,18,78.6
19,0.654587,0.651659,0.0001,0.649586,18,78.7
20,0.652658,0.649587,0.0001,0.649586,18,78.7
21,0.652205,0.65051,0.0001,0.649586,18,78.8
22,0.651644,0.648707,0.0001,0.648707,22,78.7
23,0.651919,0.647474,0.0001,0.647474,23,78.6
24,0.650571,0.648599,0.0001,0.647474,23,78.8
25,0.649988,0.648912,0.0001,0.647474,23,78.8
26,0.649138,0.648102,0.0001,0.647474,23,78.7
27,0.648626,0.647226,0.0001,0.647226,27,78.8
28,0.648499,0.648227,0.0001,0.647226,27,78.8
29,0.647525,0.648048,0.0001,0.647226,27,78.7
30,0.647164,0.645789,0.0001,0.645789,30,78.6
31,0.646945,0.647262,0.0001,0.645789,30,78.7
32,0.646284,0.646977,0.0001,0.645789,30,78.7
33,0.648675,0.647187,0.0001,0.645789,30,78.7
34,0.646155,0.645644,0.0001,0.645644,34,78.7
35,0.646116,0.648415,0.0001,0.645644,34,78.8
36,0.644924,0.645425,0.0001,0.645425,36,78.9
37,0.644917,0.648023,0.0001,0.645425,36,78.9
38,0.64503,0.645813,0.0001,0.645425,36,78.8
39,0.647485,0.645358,0.0001,0.645358,39,78.8
40,0.644111,0.644855,0.0001,0.644855,40,78.9
41,0.643816,0.643043,0.0001,0.643043,41,78.8
42,0.643522,0.645187,0.0001,0.643043,41,78.9
43,0.643846,0.648232,0.0001,0.643043,41,79.1
44,0.642773,0.645788,0.0001,0.643043,41,78.9
45,0.642333,0.64479,0.0001,0.643043,41,78.9
46,0.642029,0.64445,0.0001,0.643043,41,79.0
47,0.641871,0.64473,5e-05,0.643043,41,79.0
48,0.639109,0.643142,5e-05,0.643043,41,79.1
49,0.638454,0.642057,5e-05,0.642057,49,79.0
50,0.637967,0.642797,5e-05,0.642057,49,78.9
51,0.638165,0.643417,5e-05,0.642057,49,78.9
52,0.637755,0.64303,5e-05,0.642057,49,79.0
53,0.637229,0.643106,5e-05,0.642057,49,78.8
54,0.638202,0.642175,5e-05,0.642057,49,78.8
55,0.637149,0.644801,2.5e-05,0.642057,49,78.8
56,0.635388,0.642422,2.5e-05,0.642057,49,78.8
57,0.634734,0.642401,2.5e-05,0.642057,49,78.7
58,0.634497,0.642324,2.5e-05,0.642057,49,78.9
59,0.634139,0.642413,2.5e-05,0.642057,49,78.8
60,0.634315,0.64223,2.5e-05,0.642057,49,78.7
61,0.633742,0.642427,1.25e-05,0.642057,49,78.9
62,0.633524,0.642206,1.25e-05,0.642057,49,79.0
63,0.632644,0.64247,1.25e-05,0.642057,49,78.9
64,0.632433,0.642425,1.25e-05,0.642057,49,79.1
65,0.632533,0.642319,1.25e-05,0.642057,49,78.9
66,0.632289,0.642375,1.25e-05,0.642057,49,78.9
67,0.632008,0.642998,6.25e-06,0.642057,49,78.8
68,0.631697,0.642367,6.25e-06,0.642057,49,79.0
69,0.631566,0.642749,6.25e-06,0.642057,49,79.1
70,0.631841,0.642217,6.25e-06,0.642057,49,78.9
