Files	source_image	Annotation Type	Annotation Method	Cell Line	Condition	Subset	Split	ecDNA Count
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_1.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_1.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		129
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_10.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_10.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		107
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_100.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_100.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	63
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_101.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_101.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	45
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_102.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_102.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		9
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_103.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_103.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	39
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_104.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_104.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		73
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_105.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_105.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	59
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_106.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_106.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		12
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_107.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_107.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		8
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_108.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_108.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_109.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_109.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	71
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_11.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_11.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	extension		4
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_110.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_110.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	27
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_111.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_111.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	80
images/gt_coords/colo320dm_qpcr_jq1_24h_ctrl_112.npy	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_112.tif	Point coordinates (NumPy array)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	83
