Files	Data Type	Cell Line	Condition	Subset	Split	ecDNA Count
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_1.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		129
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_10.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		107
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_100.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	63
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_101.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	45
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_102.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		9
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_103.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	39
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_104.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		73
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_105.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	59
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_106.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		12
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_107.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		8
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_108.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_109.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	71
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_11.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		4
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_110.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	27
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_111.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	80
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_112.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	83
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_113.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_114.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	107
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_115.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		15
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_12.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	16
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_13.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		49
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_14.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_15.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		13
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_16.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		65
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_17.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	13
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_18.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	51
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_19.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		31
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_2.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		24
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_21.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	40
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_22.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	65
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_23.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	57
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_24.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		137
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_25.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	53
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_26.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	22
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_27.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	18
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_28.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	35
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_29.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		23
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_3.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	144
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_30.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		40
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_31.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	143
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_32.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		61
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_33.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	24
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_34.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		55
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_35.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	57
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_36.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	59
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_37.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	12
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_38.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	41
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_39.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	41
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_4.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	46
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_40.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		75
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_41.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	101
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_42.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		83
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_43.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	44
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_44.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		71
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_45.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		130
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_46.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	extension		64
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_47.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	22
images/dapi/colo320dm_qpcr_jq1_24h_ctrl_48.png	DAPI image	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	test	32
