Files	source_image	Annotation Type	Annotation Method	Cell Line	Condition	Subset	Split	ecDNA Count
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_1.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_1.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		129
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_10.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_10.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		107
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_100.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_100.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	63
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_101.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_101.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	45
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_102.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_102.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		9
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_103.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_103.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	39
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_104.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_104.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		73
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_105.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_105.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	59
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_106.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_106.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		12
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_107.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_107.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		8
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_108.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_108.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		6
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_109.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_109.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	val	71
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_11.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_11.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		4
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_110.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_110.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	27
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_111.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_111.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	80
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_112.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_112.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	benchmark	train	83
predicted_roi/colo320dm_qpcr_jq1_24h_ctrl_113.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_113.tif	Region of interest mask (metaphase spread, binary)	Automated prediction	COLO320DM	qpcr_jq1_24h_ctrl	extension		20
