Files	source_image	Annotation Type	Annotation Method	Cell Line	Condition	Split
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_100.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_100.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_101.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_101.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_103.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_103.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_105.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_105.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_109.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_109.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_110.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_110.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_111.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_111.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_112.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_112.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_114.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_114.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_12.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_12.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_17.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_17.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_18.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_18.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_21.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_21.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_22.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_22.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_23.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_23.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_25.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_25.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_26.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_26.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_27.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_27.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_28.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_28.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_3.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_3.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_31.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_31.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_33.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_33.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_35.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_35.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_36.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_36.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_37.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_37.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_38.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_38.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_39.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_39.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_4.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_4.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_41.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_41.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_43.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_43.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_47.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_47.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_48.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_48.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_49.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_49.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_50.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_50.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_55.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_55.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_58.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_58.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_65.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_65.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_66_a.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_66_a.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_67.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_67.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_69.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_69.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_72.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_72.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_75.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_75.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_78_a.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_78_a.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_78_b.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_78_b.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_79.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_79.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_8.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_8.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_81.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_81.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_82.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_82.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_87_a.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_87_a.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_87_b.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_87_b.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_88.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_88.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_89.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_89.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_9.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_9.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_90.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_90.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_92.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_92.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_95.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_95.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_96.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_96.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	test
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_97.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_97.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	train
images/roi_mask/colo320dm_qpcr_jq1_24h_ctrl_99.png	images/rgb/colo320dm_qpcr_jq1_24h_ctrl_99.tif	Region of interest mask (metaphase spread, binary)	Manual	COLO320DM	qpcr_jq1_24h_ctrl	val
