unique_id,cell_line,split,ecDNA_gt,density_bin
colo320dm_qpcr_jq1_24h_ctrl_100,COLO320DM,train,63,50-149
colo320dm_qpcr_jq1_24h_ctrl_101,COLO320DM,train,45,10-49
colo320dm_qpcr_jq1_24h_ctrl_103,COLO320DM,train,39,10-49
colo320dm_qpcr_jq1_24h_ctrl_110,COLO320DM,train,27,10-49
colo320dm_qpcr_jq1_24h_ctrl_111,COLO320DM,train,80,50-149
colo320dm_qpcr_jq1_24h_ctrl_112,COLO320DM,train,83,50-149
colo320dm_qpcr_jq1_24h_ctrl_12,COLO320DM,train,16,10-49
colo320dm_qpcr_jq1_24h_ctrl_18,COLO320DM,train,51,50-149
colo320dm_qpcr_jq1_24h_ctrl_22,COLO320DM,train,65,50-149
colo320dm_qpcr_jq1_24h_ctrl_25,COLO320DM,train,53,50-149
colo320dm_qpcr_jq1_24h_ctrl_26,COLO320DM,train,22,10-49
colo320dm_qpcr_jq1_24h_ctrl_28,COLO320DM,train,35,10-49
colo320dm_qpcr_jq1_24h_ctrl_3,COLO320DM,train,144,50-149
colo320dm_qpcr_jq1_24h_ctrl_36,COLO320DM,train,59,50-149
colo320dm_qpcr_jq1_24h_ctrl_37,COLO320DM,train,12,10-49
colo320dm_qpcr_jq1_24h_ctrl_38,COLO320DM,train,41,10-49
colo320dm_qpcr_jq1_24h_ctrl_4,COLO320DM,train,46,10-49
colo320dm_qpcr_jq1_24h_ctrl_41,COLO320DM,train,101,50-149
colo320dm_qpcr_jq1_24h_ctrl_43,COLO320DM,train,44,10-49
colo320dm_qpcr_jq1_24h_ctrl_49,COLO320DM,train,74,50-149
colo320dm_qpcr_jq1_24h_ctrl_50,COLO320DM,train,7,0-9
colo320dm_qpcr_jq1_24h_ctrl_55,COLO320DM,train,34,10-49
colo320dm_qpcr_jq1_24h_ctrl_58,COLO320DM,train,15,10-49
colo320dm_qpcr_jq1_24h_ctrl_65,COLO320DM,train,30,10-49
colo320dm_qpcr_jq1_24h_ctrl_66_a,COLO320DM,train,61,50-149
colo320dm_qpcr_jq1_24h_ctrl_72,COLO320DM,train,37,10-49
colo320dm_qpcr_jq1_24h_ctrl_75,COLO320DM,train,47,10-49
