cy,cx,area_px
618.0,1237.0,13.0
650.0,1230.0,13.0
662.0,1202.0,13.0
662.0,1419.0,13.0
670.0,1194.0,13.0
700.0,977.0,13.0
705.0,1215.0,13.0
711.0,1406.0,13.0
713.0,1186.0,13.0
718.0,1222.0,13.0
722.0,1252.0,13.0
726.0,1332.0,13.0
737.0,1320.0,13.0
737.0,1339.0,13.0
742.0,1070.0,13.0
759.0,1308.0,13.0
784.0,1364.0,13.0
789.0,1322.0,13.0
797.0,1129.0,13.0
802.0,1353.0,13.0
805.0,1084.0,13.0
809.0,1111.0,13.0
810.0,1399.0,13.0
811.0,1024.0,13.0
816.0,1487.0,13.0
819.0,1308.0,13.0
824.0,909.0,13.0
826.0,1023.0,13.0
827.0,1011.0,13.0
828.0,1174.0,13.0
832.0,1240.0,13.0
834.0,1386.0,13.0
842.0,1009.0,13.0
844.0,1249.0,13.0
844.0,1402.0,13.0
845.0,1208.0,13.0
845.0,1328.0,13.0
847.0,1179.0,13.0
860.0,875.0,13.0
862.0,1212.0,13.0
870.0,1002.0,13.0
871.0,1375.0,13.0
885.0,1266.0,13.0
915.0,1247.0,13.0
920.0,1439.0,13.0
924.0,1251.0,13.0
924.0,1391.0,13.0
942.0,1216.0,13.0
944.0,1463.0,13.0
946.0,932.0,13.0
950.0,1215.0,13.0
952.0,1391.0,13.0
961.0,1114.0,13.0
964.0,1228.0,13.0
967.0,1548.0,13.0
976.0,1543.0,13.0
977.0,944.0,13.0
985.0,1371.0,13.0
994.0,1360.0,13.0
1002.0,1393.0,13.0
1002.0,1432.0,13.0
1010.0,1235.0,13.0
1011.0,1267.0,13.0
1014.0,1254.0,13.0
1022.0,1419.0,13.0
1022.0,1518.0,13.0
1024.0,1167.0,13.0
1025.0,1190.0,13.0
1026.0,1540.0,13.0
1032.0,1183.0,13.0
1041.0,1186.0,13.0
1042.0,1127.0,13.0
1048.0,1180.0,13.0
1061.0,1317.0,13.0
1067.0,1152.0,13.0
1067.0,1277.0,13.0
1074.0,1240.0,13.0
1079.0,950.0,13.0
1082.0,1279.0,13.0
1083.0,886.0,13.0
1086.0,1214.0,13.0
1093.0,1263.0,13.0
1094.0,1217.0,13.0
1094.0,1436.0,13.0
1111.0,1510.0,13.0
1115.0,1457.0,13.0
1117.0,905.0,13.0
1136.0,1250.0,13.0
1138.0,1373.0,13.0
1144.0,1374.0,13.0
1146.0,1016.0,13.0
1147.0,1479.0,13.0
1152.0,1506.0,13.0
1161.0,994.0,13.0
1163.0,927.0,13.0
1165.0,1536.0,13.0
1171.0,1222.0,13.0
1173.0,998.0,13.0
1179.0,1288.0,13.0
1180.0,1466.0,13.0
1192.0,1161.0,13.0
1209.0,1081.0,13.0
1216.0,1087.0,13.0
1223.0,1515.0,13.0
1237.0,1350.0,13.0
1264.0,1421.0,13.0
1278.0,1529.0,13.0
1289.0,1361.0,13.0
1293.0,1519.0,13.0
1295.0,1214.0,13.0
1304.0,1238.0,13.0
1311.0,1494.0,13.0
1314.0,1436.0,13.0
1319.0,1497.0,13.0
1324.0,1440.0,13.0
1328.0,1505.0,13.0
