file,type,size_kb
fig3_before_after_bo_anchor_metrics_source.csv,csv,0.3
fig3_before_after_bo_overlay_source.csv,csv,0.4
fig3_detection_steps_params_source.csv,csv,0.2
fig3_detection_steps_source.csv,csv,0.1
fig3_pipeline_schematic_source.csv,csv,0.4
fig3_preproc_steps_composite_source.csv,csv,0.4
fig3_preproc_steps_params_source.csv,csv,0.3
notebook02_output_manifest.csv,csv,1.3
source_before_after_f1_by_cell_line.csv,csv,1.1
source_bo_selected_probes.csv,csv,0.3
source_bo_trajectories.csv,csv,17.4
source_fig3e_density_metrics.csv,csv,1.1
source_fig3e_overall_metrics.csv,csv,0.3
source_fig3e_split_metrics.csv,csv,0.6
source_frozen_params_table.csv,csv,1.0
fig3_before_after_bo_overlay.png,png,254.3
fig3_before_after_f1_by_cell_line.png,png,32.0
fig3_bo_before_after_summary.png,png,79.4
fig3_bo_trajectories_simplified.png,png,32.7
fig3_detection_steps.png,png,130.2
fig3_frozen_params_table.png,png,49.7
fig3_pipeline_schematic.png,png,45.3
fig3_preproc_steps.png,png,126.8
fig3_preproc_steps_composite.png,png,109.3
fig3_before_after_bo_overlay.svg,svg,1635.6
fig3_before_after_f1_by_cell_line.svg,svg,14.3
fig3_bo_before_after_summary.svg,svg,29.0
fig3_bo_trajectories_simplified.svg,svg,17.2
fig3_detection_steps.svg,svg,418.9
fig3_frozen_params_table.svg,svg,22.6
fig3_pipeline_schematic.svg,svg,11.5
fig3_preproc_steps.svg,svg,142.1
fig3_preproc_steps_composite.svg,svg,345.2
