model,count_bin,f1,precision,recall,count_mae,n_images
Classic (before opt),0–9,0.02531645569620253,0.021739130434782608,0.030303030303030304,7.0,7
Classic (before opt),10–49,0.36633380884450784,0.7734939759036145,0.24,23.126582278481013,79
Classic (before opt),50–149,0.3545344533029613,0.8651958655432989,0.22294590299693368,73.58,450
Classic (before opt),150–299,0.41039149128762165,0.9279164961113385,0.2634551688070196,152.27791563275434,403
Classic (before opt),300+,0.40752371932273235,0.9521332349858302,0.2592408595558468,333.5194174757282,206
Classic (after opt),0–9,0.14285714285714285,0.0847457627118644,0.45454545454545453,21.714285714285715,7
Classic (after opt),10–49,0.7402942740648821,0.7039784221173297,0.7805607476635514,12.746835443037975,79
Classic (after opt),50–149,0.7352500403476817,0.7580764019302542,0.7137581414087155,24.197777777777777,450
Classic (after opt),150–299,0.7880059855939942,0.8670517811545062,0.7221686326921959,44.63771712158809,403
Classic (after opt),300+,0.7906184891957855,0.904950737909325,0.7019353747608528,103.8883495145631,206
