file,type,size_kb,path
notebook03_output_manifest.csv,csv,4.6,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/notebook03_output_manifest.csv
source_anchor_mask_qc.csv,csv,0.2,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_anchor_mask_qc.csv
source_fig5_live_eccount_postprocessing.csv,csv,0.1,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig5_live_eccount_postprocessing.csv
source_fig5_training_curves.csv,csv,2.0,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig5_training_curves.csv
source_fig6_count_agreement.csv,csv,381.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_count_agreement.csv
source_fig6_count_agreement_summary.csv,csv,0.5,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_count_agreement_summary.csv
source_fig6_f1_by_cell_line.csv,csv,1.0,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_f1_by_cell_line.csv
source_fig6_f1_by_density.csv,csv,1.1,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_f1_by_density.csv
source_fig6_f1_overall.csv,csv,0.2,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_f1_overall.csv
source_fig6_test_count_mae.csv,csv,0.6,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_test_count_mae.csv
source_fig6_test_only_f1.csv,csv,0.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/source_fig6_test_only_f1.csv
fig4_qualitative_six_models.png,png,382.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig4_qualitative_six_models.png
fig5_postproc_steps.png,png,45.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_postproc_steps.png
fig5_probability_map.png,png,58.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_probability_map.png
fig5_threshold_vs_peaks.png,png,82.4,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_threshold_vs_peaks.png
fig5_threshold_vs_peaks_zoomed.png,png,143.5,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_threshold_vs_peaks_zoomed.png
fig5_training_curves.png,png,32.2,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_training_curves.png
fig6_count_agreement.png,png,227.8,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_count_agreement.png
fig6_f1_by_cell_line.png,png,31.2,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_by_cell_line.png
fig6_f1_by_density.png,png,60.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_by_density.png
fig6_f1_overall.png,png,36.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_overall.png
fig6_test_count_mae.png,png,33.4,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_test_count_mae.png
fig6_test_only.png,png,36.1,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_test_only.png
fig4_qualitative_six_models.svg,svg,2572.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig4_qualitative_six_models.svg
fig5_postproc_steps.svg,svg,232.8,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_postproc_steps.svg
fig5_probability_map.svg,svg,163.4,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_probability_map.svg
fig5_threshold_vs_peaks.svg,svg,313.6,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_threshold_vs_peaks.svg
fig5_threshold_vs_peaks_zoomed.svg,svg,154.9,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_threshold_vs_peaks_zoomed.svg
fig5_training_curves.svg,svg,16.6,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig5_training_curves.svg
fig6_count_agreement.svg,svg,454.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_count_agreement.svg
fig6_f1_by_cell_line.svg,svg,16.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_by_cell_line.svg
fig6_f1_by_density.svg,svg,19.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_by_density.svg
fig6_f1_overall.svg,svg,11.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_f1_overall.svg
fig6_test_count_mae.svg,svg,12.3,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_test_count_mae.svg
fig6_test_only.svg,svg,11.7,/proj/brunk_ecdna_cv_project/Poorya/ecdna-bench/release/figures/notebook03/fig6_test_only.svg
