model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot
Classic (after opt),train,COLO320DM,0-9,1,58,57,57,2,59
Classic (after opt),train,COLO320DM,0-9,4,19,15,15,5,20
Classic (after opt),test,COLO320DM,0-9,4,36,32,32,5,37
Classic (after opt),train,COLO320DM,0-9,4,30,26,26,5,31
Classic (after opt),val,COLO320DM,0-9,4,19,15,15,5,20
Classic (after opt),train,COLO320DM,0-9,7,11,4,4,8,12
Classic (after opt),val,NCI-H2170,0-9,9,6,3,-3,10,7
Classic (after opt),train,COLO320DM,10-49,10,16,6,6,11,17
Classic (after opt),train,COLO320DM,10-49,12,26,14,14,13,27
Classic (after opt),val,COLO320DM,10-49,13,15,2,2,14,16
Classic (after opt),train,COLO320DM,10-49,15,17,2,2,16,18
Classic (after opt),train,COLO320DM,10-49,15,24,9,9,16,25
Classic (after opt),train,NCI-H2170,10-49,15,17,2,2,16,18
Classic (after opt),test,NCI-H2170,10-49,15,15,0,0,16,16
Classic (after opt),train,COLO320DM,10-49,16,19,3,3,17,20
Classic (after opt),train,NCI-H2170,10-49,16,12,4,-4,17,13
Classic (after opt),val,NCI-H2170,10-49,17,15,2,-2,18,16
Classic (after opt),val,COLO320DM,10-49,18,18,0,0,19,19
Classic (after opt),train,NCI-H2170,10-49,18,21,3,3,19,22
Classic (after opt),train,COLO320DM,10-49,22,23,1,1,23,24
Classic (after opt),test,COLO320DM,10-49,22,31,9,9,23,32
Classic (after opt),train,NCI-H2170,10-49,22,20,2,-2,23,21
Classic (after opt),train,COLO320DM,10-49,23,28,5,5,24,29
Classic (after opt),test,COLO320DM,10-49,24,29,5,5,25,30
Classic (after opt),train,NCI-H2170,10-49,24,15,9,-9,25,16
Classic (after opt),train,NCI-H2170,10-49,24,19,5,-5,25,20
Classic (after opt),val,NCI-H2170,10-49,24,20,4,-4,25,21
Classic (after opt),train,COLO320DM,10-49,26,40,14,14,27,41
Classic (after opt),train,NCI-H2170,10-49,26,24,2,-2,27,25
Classic (after opt),train,COLO320DM,10-49,27,26,1,-1,28,27
Classic (after opt),train,NCI-H2170,10-49,27,16,11,-11,28,17
Classic (after opt),train,NCI-H2170,10-49,27,51,24,24,28,52
Classic (after opt),train,COLO320DM,10-49,30,24,6,-6,31,25
Classic (after opt),train,COLO320DM,10-49,30,33,3,3,31,34
Classic (after opt),train,NCI-H2170,10-49,30,69,39,39,31,70
Classic (after opt),test,COLO320DM,10-49,31,23,8,-8,32,24
Classic (after opt),test,COLO320DM,10-49,32,31,1,-1,33,32
Classic (after opt),train,COLO320DM,10-49,32,30,2,-2,33,31
Classic (after opt),train,NCI-H2170,10-49,32,85,53,53,33,86
Classic (after opt),val,NCI-H2170,10-49,33,26,7,-7,34,27
Classic (after opt),train,COLO320DM,10-49,34,42,8,8,35,43
Classic (after opt),train,NCI-H2170,10-49,34,24,10,-10,35,25
Classic (after opt),train,COLO320DM,10-49,35,43,8,8,36,44
Classic (after opt),train,NCI-H2170,10-49,35,26,9,-9,36,27
Classic (after opt),val,NCI-H2170,10-49,35,27,8,-8,36,28
Classic (after opt),train,NCI-H2170,10-49,35,32,3,-3,36,33
Classic (after opt),val,NCI-H2170,10-49,35,113,78,78,36,114
Classic (after opt),train,COLO320DM,10-49,36,41,5,5,37,42
Classic (after opt),test,NCI-H2170,10-49,36,24,12,-12,37,25
Classic (after opt),train,NCI-H2170,10-49,36,72,36,36,37,73
Classic (after opt),train,COLO320DM,10-49,37,35,2,-2,38,36
Classic (after opt),test,NCI-H2170,10-49,38,57,19,19,39,58
Classic (after opt),train,COLO320DM,10-49,39,45,6,6,40,46
Classic (after opt),train,NCI-H2170,10-49,39,44,5,5,40,45
Classic (after opt),val,COLO320DM,10-49,40,46,6,6,41,47
Classic (after opt),test,NCI-H2170,10-49,40,28,12,-12,41,29
Classic (after opt),train,NCI-H2170,10-49,40,34,6,-6,41,35
Classic (after opt),train,COLO320DM,10-49,41,42,1,1,42,43
Classic (after opt),test,COLO320DM,10-49,41,47,6,6,42,48
Classic (after opt),train,NCI-H2170,10-49,41,133,92,92,42,134
Classic (after opt),train,NCI-H2170,10-49,41,71,30,30,42,72
Classic (after opt),train,NCI-H2170,10-49,41,66,25,25,42,67
