model,cell_line,object_f1
Classic (after opt),NCI-H2170,0.7500995000124375
Label Engine,NCI-H2170,0.8776354892096451
ecSeg,NCI-H2170,0.5288988097536862
MIA,NCI-H2170,0.8519189026642692
ecCount (threshold mask),NCI-H2170,0.9168383459756204
ecCount (peaks),NCI-H2170,0.9435473898827582
Classic (after opt),SNU16,0.857661838108467
Label Engine,SNU16,0.5685408347174612
ecSeg,SNU16,0.1124759277572477
MIA,SNU16,0.4972286606872921
ecCount (threshold mask),SNU16,0.9128234307618592
ecCount (peaks),SNU16,0.9324924289200552
Classic (after opt),COLO320DM,0.8248626373626373
Label Engine,COLO320DM,0.6924351187189398
ecSeg,COLO320DM,0.2242677824267782
MIA,COLO320DM,0.7662552956345552
ecCount (threshold mask),COLO320DM,0.9069007055584236
ecCount (peaks),COLO320DM,0.9151442718115076
Classic (after opt),NCI-H716,0.9012384633588388
Label Engine,NCI-H716,0.7103085714285714
ecSeg,NCI-H716,0.3159983657269596
MIA,NCI-H716,0.7235827974643134
ecCount (threshold mask),NCI-H716,0.9391469194312796
ecCount (peaks),NCI-H716,0.951735500056165
