model,density_bin,object_f1
Classic (after opt),0-9,0.1428571428571428
Label Engine,0-9,0.1215469613259668
ecSeg,0-9,0.0277777777777777
MIA,0-9,0.1942857142857142
ecCount (threshold mask),0-9,0.1909547738693467
ecCount (peaks),0-9,0.19
Classic (after opt),10-49,0.7402942740648821
Label Engine,10-49,0.6625
ecSeg,10-49,0.2330682752947628
MIA,10-49,0.6731936557665948
ecCount (threshold mask),10-49,0.9255601974933536
ecCount (peaks),10-49,0.931672329180823
Classic (after opt),50-149,0.7352500403476817
Label Engine,50-149,0.7966532307316477
ecSeg,50-149,0.3884887490617564
MIA,50-149,0.7766304212595486
ecCount (threshold mask),50-149,0.9128978806734568
ecCount (peaks),50-149,0.9277848853148132
Classic (after opt),150-299,0.7880059855939942
Label Engine,150-299,0.8185898049730281
ecSeg,150-299,0.4568731800381564
MIA,150-299,0.792753134646018
ecCount (threshold mask),150-299,0.92127404208609
ecCount (peaks),150-299,0.9409732288123058
Classic (after opt),300+,0.7906184891957855
Label Engine,300+,0.8483560301809828
ecSeg,300+,0.5120615859284018
MIA,300+,0.822998657317619
ecCount (threshold mask),300+,0.9166477074096476
ecCount (peaks),300+,0.950682372142466
