model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,object_f1
Classic (before opt),test,OR,5.0,0.0,7207,1128,26421,2,0.8646670665866827,0.2143154514095396,0.3434930772347068
Classic (before opt),test,OR,5.0,0.05,6560,1775,27068,2,0.7870425914817036,0.1950755322945164,0.3126563877701785
Classic (before opt),test,OR,5.0,0.1,6363,1972,27265,2,0.7634073185362927,0.1892173189009159,0.3032671639301289
Classic (before opt),test,OR,5.0,0.2,6348,1987,27280,2,0.7616076784643071,0.1887712620435351,0.3025522484093129
Classic (before opt),test,OR,5.0,0.3,6348,1987,27280,2,0.7616076784643071,0.1887712620435351,0.3025522484093129
Classic (before opt),test,OR,5.0,0.4,6348,1987,27280,2,0.7616076784643071,0.1887712620435351,0.3025522484093129
Classic (before opt),test,OR,5.0,0.5,6348,1987,27280,2,0.7616076784643071,0.1887712620435351,0.3025522484093129
Classic (before opt),test,OR,10.0,0.0,7450,853,26178,34,0.8972660484162351,0.2215415724991078,0.3553456869619136
Classic (before opt),test,OR,10.0,0.05,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,10.0,0.1,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,10.0,0.2,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,10.0,0.3,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,10.0,0.4,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,10.0,0.5,7357,946,26271,34,0.8860652776105022,0.2187760199833472,0.3509098280508454
Classic (before opt),test,OR,15.0,0.0,7484,794,26144,59,0.9040831118627688,0.2225526347091709,0.3571803560349353
Classic (before opt),test,OR,15.0,0.05,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,15.0,0.1,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,15.0,0.2,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,15.0,0.3,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,15.0,0.4,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,15.0,0.5,7463,815,26165,59,0.901546267214303,0.2219281551088378,0.356178112919391
Classic (before opt),test,OR,20.0,0.0,7534,729,26094,74,0.911775384243011,0.2240394909004401,0.3596953999665799
Classic (before opt),test,OR,20.0,0.05,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,20.0,0.1,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,20.0,0.2,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,20.0,0.3,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,20.0,0.4,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,20.0,0.5,7529,734,26099,74,0.9111702771390536,0.2238908052813132,0.3594566852068463
Classic (before opt),test,OR,25.0,0.0,7605,648,26023,84,0.9214830970556162,0.2261508266920423,0.3631718440342876
Classic (before opt),test,OR,25.0,0.05,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,25.0,0.1,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,25.0,0.2,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,25.0,0.3,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,25.0,0.4,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,25.0,0.5,7604,649,26024,84,0.9213619289955168,0.2261210895682169,0.3631240896826723
Classic (before opt),test,OR,30.0,0.0,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.05,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.1,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.2,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.3,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.4,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,30.0,0.5,7674,569,25954,94,0.9309717335921388,0.2282026882359938,0.3665544171383535
Classic (before opt),test,OR,40.0,0.0,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,40.0,0.05,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,40.0,0.1,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,40.0,0.2,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,40.0,0.3,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
Classic (before opt),test,OR,40.0,0.4,7806,422,25822,109,0.9487117160913952,0.2321279885809444,0.372993119266055
