uid,f1_before,f1_after,delta_after_minus_before,subset
colo320dm_qpcr_jq1_24h_ctrl_100,0.3376623376623376,0.9193548387096774,0.5816925010473397,all_images
colo320dm_qpcr_jq1_24h_ctrl_101,0.0816326530612244,0.8235294117647058,0.7418967587034815,all_images
colo320dm_qpcr_jq1_24h_ctrl_103,0.0975609756097561,0.95,0.8524390243902439,all_images
colo320dm_qpcr_jq1_24h_ctrl_105,0.1269841269841269,0.8833333333333333,0.7563492063492064,all_images
colo320dm_qpcr_jq1_24h_ctrl_109,0.1298701298701298,0.7256637168141593,0.5957935869440295,all_images
colo320dm_qpcr_jq1_24h_ctrl_110,0.1379310344827586,0.7843137254901961,0.6463826910074375,all_images
colo320dm_qpcr_jq1_24h_ctrl_111,0.419047619047619,0.8648648648648649,0.4458172458172459,all_images
colo320dm_qpcr_jq1_24h_ctrl_112,0.3061224489795918,0.9006622516556292,0.5945398026760373,all_images
colo320dm_qpcr_jq1_24h_ctrl_114,0.2439024390243902,0.865979381443299,0.6220769424189088,all_images
colo320dm_qpcr_jq1_24h_ctrl_12,0.0,0.875,0.875,all_images
colo320dm_qpcr_jq1_24h_ctrl_17,0.25,0.8,0.55,all_images
colo320dm_qpcr_jq1_24h_ctrl_18,0.28125,0.9108910891089108,0.6296410891089108,all_images
colo320dm_qpcr_jq1_24h_ctrl_21,0.2978723404255319,0.8831168831168831,0.5852445426913512,all_images
colo320dm_qpcr_jq1_24h_ctrl_22,0.1666666666666666,0.8392857142857143,0.6726190476190477,all_images
colo320dm_qpcr_jq1_24h_ctrl_23,0.2424242424242424,0.8807339449541285,0.6383097025298861,all_images
colo320dm_qpcr_jq1_24h_ctrl_25,0.4117647058823529,0.8269230769230769,0.41515837104072395,all_images
colo320dm_qpcr_jq1_24h_ctrl_26,0.0,0.9302325581395348,0.9302325581395348,all_images
colo320dm_qpcr_jq1_24h_ctrl_27,0.6666666666666666,0.9411764705882352,0.27450980392156854,all_images
colo320dm_qpcr_jq1_24h_ctrl_28,0.2857142857142857,0.9714285714285714,0.6857142857142857,all_images
colo320dm_qpcr_jq1_24h_ctrl_3,0.5784313725490197,0.8955223880597015,0.31709101551068186,all_images
colo320dm_qpcr_jq1_24h_ctrl_31,0.32,0.8905660377358491,0.570566037735849,all_images
colo320dm_qpcr_jq1_24h_ctrl_33,0.375,0.92,0.545,all_images
colo320dm_qpcr_jq1_24h_ctrl_35,0.3142857142857143,0.7610619469026548,0.44677623261694055,all_images
colo320dm_qpcr_jq1_24h_ctrl_36,0.208955223880597,0.8761904761904762,0.6672352523098792,all_images
colo320dm_qpcr_jq1_24h_ctrl_37,0.1333333333333333,0.5,0.3666666666666667,all_images
colo320dm_qpcr_jq1_24h_ctrl_38,0.4150943396226415,0.8717948717948718,0.45670053217223033,all_images
colo320dm_qpcr_jq1_24h_ctrl_39,0.2127659574468085,0.8860759493670886,0.6733099919202801,all_images
colo320dm_qpcr_jq1_24h_ctrl_4,0.4262295081967213,0.8602150537634409,0.4339855455667196,all_images
colo320dm_qpcr_jq1_24h_ctrl_41,0.1946902654867256,0.8,0.6053097345132744,all_images
colo320dm_qpcr_jq1_24h_ctrl_43,0.4,0.6115702479338843,0.21157024793388424,all_images
