model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot,unique_id
Label Engine,train,COLO320DM,0-9,1,46,45,45,2,47,1145
Label Engine,train,COLO320DM,0-9,4,0,4,-4,5,1,1146
Label Engine,test,COLO320DM,0-9,4,32,28,28,5,33,1147
Label Engine,train,COLO320DM,0-9,4,22,18,18,5,23,1148
Label Engine,val,COLO320DM,0-9,4,22,18,18,5,23,1149
Label Engine,train,COLO320DM,0-9,7,19,12,12,8,20,1150
Label Engine,val,NCI-H2170,0-9,9,8,1,-1,10,9,1151
Label Engine,train,COLO320DM,10-49,10,34,24,24,11,35,1152
Label Engine,train,COLO320DM,10-49,12,4,8,-8,13,5,1153
Label Engine,val,COLO320DM,10-49,13,10,3,-3,14,11,1154
Label Engine,train,COLO320DM,10-49,15,18,3,3,16,19,1155
Label Engine,train,COLO320DM,10-49,15,11,4,-4,16,12,1156
Label Engine,train,NCI-H2170,10-49,15,22,7,7,16,23,1157
Label Engine,test,NCI-H2170,10-49,15,17,2,2,16,18,1158
Label Engine,train,COLO320DM,10-49,16,9,7,-7,17,10,1159
Label Engine,train,NCI-H2170,10-49,16,29,13,13,17,30,1160
Label Engine,val,NCI-H2170,10-49,17,13,4,-4,18,14,1161
Label Engine,val,COLO320DM,10-49,18,15,3,-3,19,16,1162
Label Engine,train,NCI-H2170,10-49,18,27,9,9,19,28,1163
Label Engine,train,COLO320DM,10-49,22,6,16,-16,23,7,1164
Label Engine,test,COLO320DM,10-49,22,20,2,-2,23,21,1165
Label Engine,train,NCI-H2170,10-49,22,21,1,-1,23,22,1166
Label Engine,train,COLO320DM,10-49,23,7,16,-16,24,8,1167
Label Engine,test,COLO320DM,10-49,24,24,0,0,25,25,1168
Label Engine,train,NCI-H2170,10-49,24,23,1,-1,25,24,1169
Label Engine,train,NCI-H2170,10-49,24,25,1,1,25,26,1170
Label Engine,val,NCI-H2170,10-49,24,17,7,-7,25,18,1171
Label Engine,train,COLO320DM,10-49,26,24,2,-2,27,25,1172
Label Engine,train,NCI-H2170,10-49,26,18,8,-8,27,19,1173
Label Engine,train,COLO320DM,10-49,27,18,9,-9,28,19,1174
Label Engine,train,NCI-H2170,10-49,27,19,8,-8,28,20,1175
Label Engine,train,NCI-H2170,10-49,27,22,5,-5,28,23,1176
Label Engine,train,COLO320DM,10-49,30,51,21,21,31,52,1177
