model,cell_line,n_images,tp,fp,fn,object_f1
Classic (after opt),COLO320DM,64,2402,479,541,0.8248626373626373
Classic (after opt),NCI-H2170,888,120619,24106,56264,0.7500995000124375
Classic (after opt),NCI-H716,70,11425,589,1915,0.9012384633588388
Classic (after opt),SNU16,123,28094,2546,6779,0.857661838108467
Label Engine,COLO320DM,64,1881,609,1062,0.6924351187189398
Label Engine,NCI-H2170,888,146627,10631,30256,0.8776354892096451
Label Engine,NCI-H716,70,7769,766,5571,0.7103085714285714
Label Engine,SNU16,123,16088,5633,18785,0.5685408347174612
MIA,COLO320DM,64,2080,406,863,0.7662552956345552
MIA,NCI-H2170,888,139526,11148,37357,0.8519189026642692
MIA,NCI-H716,70,7933,654,5407,0.7235827974643134
MIA,SNU16,123,12335,2407,22538,0.49722866068729216
ecCount (peaks),COLO320DM,64,2680,234,263,0.9151442718115076
ecCount (peaks),NCI-H2170,888,164056,6804,12827,0.9435473898827582
ecCount (peaks),NCI-H716,70,12709,658,631,0.951735500056165
ecCount (peaks),SNU16,123,31715,1434,3158,0.9324924289200552
ecCount (threshold mask),COLO320DM,64,2635,233,308,0.9069007055584237
ecCount (threshold mask),NCI-H2170,888,155317,6610,21566,0.9168383459756205
ecCount (threshold mask),NCI-H716,70,12385,650,955,0.9391469194312796
ecCount (threshold mask),SNU16,123,30481,1430,4392,0.9128234307618591
ecSeg,COLO320DM,64,402,240,2541,0.22426778242677825
ecSeg,NCI-H2170,888,68476,13579,108407,0.5288988097536862
ecSeg,NCI-H716,70,2707,1086,10633,0.31599836572695966
ecSeg,SNU16,123,2161,1392,32712,0.1124759277572477
