subset,subset_display,model,n_rows,n_images,tp,fp,fn,object_f1,count_mae,count_bias,pixel_dice,object_f1_reported_3dp,pixel_dice_reported_3dp,count_mae_reported_1dp,count_bias_reported_1dp
all_images,All benchmark images,ecCount (peaks),1145,1145,211160,9130,16879,0.9419867998724151,13.1117903930131,0.3554585152838428,0.3205379595900654,0.942,0.321,13.1,0.4
all_images,All benchmark images,ecCount (threshold mask),1145,1145,200818,8923,27221,0.917437982548312,18.076855895196505,-11.441048034934498,0.3108647149999226,0.917,0.311,18.1,-11.4
all_images,All benchmark images,Label Engine,1145,1145,172365,17639,55674,0.8246280884980731,36.02794759825328,-28.763318777292575,0.2474742464042048,0.825,0.247,36.0,-28.8
all_images,All benchmark images,MIA,1145,1145,161874,14615,66165,0.8003104853063323,46.951965065502186,-40.620087336244545,0.2062596498452182,0.8,0.206,47.0,-40.6
all_images,All benchmark images,Classic (after opt),1145,1145,162540,27720,65499,0.777147447161002,44.92401746724891,-24.28471615720524,0.1260718687164623,0.777,0.126,44.9,-24.3
all_images,All benchmark images,ecSeg,1145,1145,73746,16297,154293,0.4636917524411944,121.48646288209606,-118.46812227074236,0.1460119539643478,0.464,0.146,121.5,-118.5
test_only,Held-out test split,ecCount (peaks),175,175,31137,1545,2491,0.9391343688734731,13.308571428571428,1.88,0.3099936440364803,0.939,0.31,13.3,1.9
test_only,Held-out test split,ecCount (threshold mask),175,175,29674,1512,3954,0.9156663683772025,17.617142857142856,-9.102857142857143,0.3018244923392286,0.916,0.302,17.6,-9.1
test_only,Held-out test split,Label Engine,175,175,25498,2689,8130,0.8249777562080401,34.36571428571428,-26.86857142857143,0.2474142531952353,0.825,0.247,34.4,-26.9
test_only,Held-out test split,MIA,175,175,24482,2136,9146,0.8127344553995286,40.394285714285715,-35.74285714285714,0.2171941001111349,0.813,0.217,40.4,-35.7
test_only,Held-out test split,Classic (after opt),175,175,24312,4819,9316,0.7747733392820153,40.94285714285714,-17.354285714285716,0.116732336370874,0.775,0.117,40.9,-17.4
test_only,Held-out test split,ecSeg,175,175,12234,2281,21394,0.5082358806056956,110.27428571428571,-107.41714285714286,0.1647402619727025,0.508,0.165,110.3,-107.4
