model,cell_line,n_images,tp,fp,fn,object_f1
Classic (after opt),COLO320DM,11,409,71,103,0.8245967741935484
Classic (after opt),NCI-H2170,134,18348,4108,8042,0.7512590590836506
Classic (after opt),NCI-H716,11,1460,67,242,0.904304738309074
Classic (after opt),SNU16,19,4095,573,929,0.8450268262484524
Label Engine,COLO320DM,11,330,100,182,0.7006369426751592
Label Engine,NCI-H2170,134,21919,1602,4471,0.8783234156799102
Label Engine,NCI-H716,11,801,173,901,0.5986547085201793
Label Engine,SNU16,19,2448,814,2576,0.5908761766835626
MIA,COLO320DM,11,357,78,155,0.7539598732840549
MIA,NCI-H2170,134,21431,1572,4959,0.8677747859008361
MIA,NCI-H716,11,808,124,894,0.6135155656795748
MIA,SNU16,19,1886,362,3138,0.5187018701870187
ecCount (peaks),COLO320DM,11,452,56,60,0.8862745098039215
ecCount (peaks),NCI-H2170,134,24514,1197,1876,0.941018406556496
ecCount (peaks),NCI-H716,11,1613,85,89,0.9488235294117647
ecCount (peaks),SNU16,19,4558,207,466,0.931249361528246
ecCount (threshold mask),COLO320DM,11,442,55,70,0.8761149653121902
ecCount (threshold mask),NCI-H2170,134,23237,1166,3153,0.9149685980351623
ecCount (threshold mask),NCI-H716,11,1583,84,119,0.939744731374295
ecCount (threshold mask),SNU16,19,4412,207,612,0.9150679249196308
ecSeg,COLO320DM,11,49,52,463,0.1598694942903752
ecSeg,NCI-H2170,134,11558,1864,14832,0.5806289560936401
ecSeg,NCI-H716,11,187,137,1515,0.18460019743336623
ecSeg,SNU16,19,440,228,4584,0.15460295151089248
Classic (before opt),COLO320DM,11,106,27,406,0.32868217054263565
Classic (before opt),NCI-H2170,134,5410,523,20980,0.3347461559879962
Classic (before opt),NCI-H716,11,619,66,1083,0.5186426476749058
Classic (before opt),SNU16,19,1394,118,3630,0.4265605875152999
