unique_id,cell_line,coord_count_npy,ecDNA_gt,delta_coord_minus_gt,abs_delta
colo320dm_qpcr_jq1_24h_ctrl_1,COLO320DM,129,129,0,0
colo320dm_qpcr_jq1_24h_ctrl_10,COLO320DM,107,107,0,0
colo320dm_qpcr_jq1_24h_ctrl_100,COLO320DM,63,63,0,0
colo320dm_qpcr_jq1_24h_ctrl_101,COLO320DM,45,45,0,0
colo320dm_qpcr_jq1_24h_ctrl_102,COLO320DM,9,9,0,0
colo320dm_qpcr_jq1_24h_ctrl_103,COLO320DM,39,39,0,0
colo320dm_qpcr_jq1_24h_ctrl_104,COLO320DM,73,73,0,0
colo320dm_qpcr_jq1_24h_ctrl_105,COLO320DM,59,59,0,0
colo320dm_qpcr_jq1_24h_ctrl_106,COLO320DM,12,12,0,0
colo320dm_qpcr_jq1_24h_ctrl_107,COLO320DM,8,8,0,0
colo320dm_qpcr_jq1_24h_ctrl_108,COLO320DM,6,6,0,0
colo320dm_qpcr_jq1_24h_ctrl_109,COLO320DM,71,71,0,0
colo320dm_qpcr_jq1_24h_ctrl_11,COLO320DM,4,4,0,0
colo320dm_qpcr_jq1_24h_ctrl_110,COLO320DM,27,27,0,0
colo320dm_qpcr_jq1_24h_ctrl_111,COLO320DM,80,80,0,0
colo320dm_qpcr_jq1_24h_ctrl_112,COLO320DM,83,83,0,0
colo320dm_qpcr_jq1_24h_ctrl_113,COLO320DM,20,20,0,0
colo320dm_qpcr_jq1_24h_ctrl_114,COLO320DM,107,107,0,0
colo320dm_qpcr_jq1_24h_ctrl_115,COLO320DM,15,15,0,0
colo320dm_qpcr_jq1_24h_ctrl_12,COLO320DM,16,16,0,0
colo320dm_qpcr_jq1_24h_ctrl_13,COLO320DM,49,49,0,0
colo320dm_qpcr_jq1_24h_ctrl_14,COLO320DM,24,24,0,0
colo320dm_qpcr_jq1_24h_ctrl_15,COLO320DM,13,13,0,0
colo320dm_qpcr_jq1_24h_ctrl_16,COLO320DM,65,65,0,0
colo320dm_qpcr_jq1_24h_ctrl_17,COLO320DM,13,13,0,0
colo320dm_qpcr_jq1_24h_ctrl_18,COLO320DM,51,51,0,0
colo320dm_qpcr_jq1_24h_ctrl_19,COLO320DM,31,31,0,0
colo320dm_qpcr_jq1_24h_ctrl_2,COLO320DM,24,24,0,0
colo320dm_qpcr_jq1_24h_ctrl_21,COLO320DM,40,40,0,0
colo320dm_qpcr_jq1_24h_ctrl_22,COLO320DM,65,65,0,0
colo320dm_qpcr_jq1_24h_ctrl_23,COLO320DM,57,57,0,0
colo320dm_qpcr_jq1_24h_ctrl_24,COLO320DM,137,137,0,0
colo320dm_qpcr_jq1_24h_ctrl_25,COLO320DM,53,53,0,0
colo320dm_qpcr_jq1_24h_ctrl_26,COLO320DM,22,22,0,0
colo320dm_qpcr_jq1_24h_ctrl_27,COLO320DM,18,18,0,0
colo320dm_qpcr_jq1_24h_ctrl_28,COLO320DM,35,35,0,0
colo320dm_qpcr_jq1_24h_ctrl_29,COLO320DM,23,23,0,0
colo320dm_qpcr_jq1_24h_ctrl_3,COLO320DM,144,144,0,0
colo320dm_qpcr_jq1_24h_ctrl_30,COLO320DM,40,40,0,0
colo320dm_qpcr_jq1_24h_ctrl_31,COLO320DM,146,143,3,3
colo320dm_qpcr_jq1_24h_ctrl_32,COLO320DM,61,61,0,0
colo320dm_qpcr_jq1_24h_ctrl_33,COLO320DM,24,24,0,0
colo320dm_qpcr_jq1_24h_ctrl_34,COLO320DM,55,55,0,0
colo320dm_qpcr_jq1_24h_ctrl_35,COLO320DM,57,57,0,0
colo320dm_qpcr_jq1_24h_ctrl_36,COLO320DM,59,59,0,0
colo320dm_qpcr_jq1_24h_ctrl_37,COLO320DM,12,12,0,0
colo320dm_qpcr_jq1_24h_ctrl_38,COLO320DM,41,41,0,0
colo320dm_qpcr_jq1_24h_ctrl_39,COLO320DM,41,41,0,0
colo320dm_qpcr_jq1_24h_ctrl_4,COLO320DM,46,46,0,0
colo320dm_qpcr_jq1_24h_ctrl_40,COLO320DM,75,75,0,0
colo320dm_qpcr_jq1_24h_ctrl_41,COLO320DM,101,101,0,0
colo320dm_qpcr_jq1_24h_ctrl_42,COLO320DM,83,83,0,0
colo320dm_qpcr_jq1_24h_ctrl_43,COLO320DM,44,44,0,0
colo320dm_qpcr_jq1_24h_ctrl_44,COLO320DM,71,71,0,0
colo320dm_qpcr_jq1_24h_ctrl_45,COLO320DM,130,130,0,0
colo320dm_qpcr_jq1_24h_ctrl_46,COLO320DM,64,64,0,0
colo320dm_qpcr_jq1_24h_ctrl_47,COLO320DM,22,22,0,0
colo320dm_qpcr_jq1_24h_ctrl_48,COLO320DM,32,32,0,0
colo320dm_qpcr_jq1_24h_ctrl_49,COLO320DM,74,74,0,0
colo320dm_qpcr_jq1_24h_ctrl_5,COLO320DM,20,20,0,0
colo320dm_qpcr_jq1_24h_ctrl_50,COLO320DM,7,7,0,0
colo320dm_qpcr_jq1_24h_ctrl_51,COLO320DM,93,93,0,0
colo320dm_qpcr_jq1_24h_ctrl_52,COLO320DM,26,26,0,0
colo320dm_qpcr_jq1_24h_ctrl_53_a,COLO320DM,31,31,0,0
colo320dm_qpcr_jq1_24h_ctrl_53_b,COLO320DM,10,10,0,0
colo320dm_qpcr_jq1_24h_ctrl_54_a,COLO320DM,78,78,0,0
colo320dm_qpcr_jq1_24h_ctrl_54_b,COLO320DM,29,29,0,0
colo320dm_qpcr_jq1_24h_ctrl_55,COLO320DM,34,34,0,0
colo320dm_qpcr_jq1_24h_ctrl_56,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_ctrl_57_a,COLO320DM,30,30,0,0
colo320dm_qpcr_jq1_24h_ctrl_57_b,COLO320DM,3,3,0,0
colo320dm_qpcr_jq1_24h_ctrl_58,COLO320DM,15,15,0,0
colo320dm_qpcr_jq1_24h_ctrl_59,COLO320DM,35,35,0,0
colo320dm_qpcr_jq1_24h_ctrl_6,COLO320DM,106,106,0,0
