filename,file_type,size_kb,path
fig6_test_count_agreement.png,figure,181.8,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_agreement.png
fig6_test_count_agreement.svg,figure,306.8,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_agreement.svg
fig6_test_count_agreement_top3.png,figure,89.2,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_agreement_top3.png
fig6_test_count_agreement_top3.svg,figure,142.0,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_agreement_top3.svg
fig6_test_count_mae.png,figure,73.3,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_mae.png
fig6_test_count_mae.svg,figure,24.3,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_count_mae.svg
fig6_test_f1_by_cell_line.png,figure,31.8,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_cell_line.png
fig6_test_f1_by_cell_line.svg,figure,17.5,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_cell_line.svg
fig6_test_f1_by_cell_line_heatmap.png,figure,45.0,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_cell_line_heatmap.png
fig6_test_f1_by_cell_line_heatmap.svg,figure,27.2,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_cell_line_heatmap.svg
fig6_test_f1_by_density.png,figure,62.2,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_density.png
fig6_test_f1_by_density.svg,figure,20.7,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_by_density.svg
fig6_test_f1_overall.png,figure,37.7,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_overall.png
fig6_test_f1_overall.svg,figure,12.1,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_overall.svg
fig6_test_f1_robustness.png,figure,39.3,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_robustness.png
fig6_test_f1_robustness.svg,figure,18.8,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_f1_robustness.svg
fig6_test_performance_comparison.png,figure,44.7,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_performance_comparison.png
fig6_test_performance_comparison.svg,figure,31.4,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig6_test_performance_comparison.svg
fig7a_headline_contrast.png,figure,263.6,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig7a_headline_contrast.png
fig7a_headline_contrast.svg,figure,131.5,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig7a_headline_contrast.svg
fig7a_snu16_jq1_burden_by_method.png,figure,265.1,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig7a_snu16_jq1_burden_by_method.png
fig7a_snu16_jq1_burden_by_method.svg,figure,125.4,/proj/brunk_ecdna_cv_project/Poorya/runs/figures_2026-08-31/fig7a_snu16_jq1_burden_by_method.svg
