file,kind,size_kb,subset
figC3_test_by_arm_count_MAE.png,figure raster,61.6,test
figC3_test_by_arm_count_MAE.svg,figure vector,20.8,test
figC3_test_by_arm_relative_bias_pct.png,figure raster,61.2,test
figC3_test_by_arm_relative_bias_pct.svg,figure vector,20.0,test
figC3_test_by_cell_line_arm_count_MAE.png,figure raster,67.0,test
figC3_test_by_cell_line_arm_count_MAE.svg,figure vector,24.7,test
figC3_test_by_cell_line_arm_relative_bias_pct.png,figure raster,67.6,test
figC3_test_by_cell_line_arm_relative_bias_pct.svg,figure vector,25.6,test
figC3_test_by_cell_line_count_MAE.png,figure raster,67.9,test
figC3_test_by_cell_line_count_MAE.svg,figure vector,24.7,test
figC3_test_by_cell_line_relative_bias_pct.png,figure raster,69.7,test
figC3_test_by_cell_line_relative_bias_pct.svg,figure vector,26.5,test
figC3_test_by_condition_count_MAE.png,figure raster,103.4,test
figC3_test_by_condition_count_MAE.svg,figure vector,52.6,test
figC3_test_by_condition_relative_bias_pct.png,figure raster,104.2,test
figC3_test_by_condition_relative_bias_pct.svg,figure vector,53.6,test
figC3_test_pooled_count_MAE.png,figure raster,48.3,test
figC3_test_pooled_count_MAE.svg,figure vector,15.0,test
figC3_test_pooled_relative_bias_pct.png,figure raster,48.1,test
figC3_test_pooled_relative_bias_pct.svg,figure vector,14.7,test
source_figC3_test_by_arm_count_MAE.csv,source data,1.1,test
source_figC3_test_by_arm_relative_bias_pct.csv,source data,1.3,test
source_figC3_test_by_cell_line_arm_count_MAE.csv,source data,2.6,test
source_figC3_test_by_cell_line_arm_relative_bias_pct.csv,source data,2.9,test
source_figC3_test_by_cell_line_count_MAE.csv,source data,2.6,test
source_figC3_test_by_cell_line_count_MAE_both_scopes.csv,source data,5.3,test
source_figC3_test_by_cell_line_relative_bias_pct.csv,source data,2.8,test
source_figC3_test_by_cell_line_relative_bias_pct_both_scopes.csv,source data,5.3,test
source_figC3_test_by_condition_count_MAE.csv,source data,6.1,test
source_figC3_test_by_condition_relative_bias_pct.csv,source data,7.2,test
source_figC3_test_condition_labels.csv,source data,13.1,test
source_figC3_test_pooled_count_MAE.csv,source data,0.6,test
source_figC3_test_pooled_relative_bias_pct.csv,source data,0.7,test
