cell_line,group_label,cond,arm,agent,timepoint_h,model,n_images,gt_mean,gt_median,pred_mean,pred_median,count_MAE,count_median_AE,count_bias,count_median_bias,relative_bias_pct,recovery_median
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,Classic (after opt),59.0,49.59322033898305,45.0,52.389830508474574,49.0,7.677966101694915,6.0,2.7966101694915255,3.0,5.639097744360902,1.0888888888888888
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,Label Engine,59.0,49.59322033898305,45.0,41.45762711864407,37.0,11.796610169491526,11.0,-8.135593220338983,-9.0,-16.40464798359535,0.8135593220338984
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,MIA,59.0,49.59322033898305,45.0,41.20338983050848,36.0,9.983050847457626,8.0,-8.389830508474576,-7.0,-16.917293233082706,0.8333333333333334
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,ecCount (peaks),59.0,49.59322033898305,45.0,48.76271186440678,47.0,3.406779661016949,2.0,-0.8305084745762712,0.0,-1.6746411483253587,1.0
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,ecCount (threshold mask),59.0,49.59322033898305,45.0,47.52542372881356,46.0,3.6610169491525424,3.0,-2.0677966101694913,-1.0,-4.169514695830485,0.978021978021978
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,JQ1,24.0,ecSeg,59.0,49.59322033898305,45.0,10.542372881355933,5.0,39.96610169491525,36.0,-39.05084745762712,-36.0,-78.74231032125769,0.11494252873563218
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,Classic (after opt),66.0,165.57575757575756,131.0,143.0909090909091,116.0,43.15151515151515,27.5,-22.484848484848484,-17.5,-13.579795021961933,0.8404796511627908
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,Label Engine,66.0,165.57575757575756,131.0,134.75757575757575,103.0,31.12121212121212,24.0,-30.818181818181817,-24.0,-18.612737920937043,0.8174242424242424
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,MIA,66.0,165.57575757575756,131.0,116.95454545454545,90.5,48.71212121212121,37.5,-48.621212121212125,-37.5,-29.36493411420205,0.7077954432214522
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,ecCount (peaks),66.0,165.57575757575756,131.0,153.8939393939394,120.5,12.712121212121213,8.0,-11.681818181818182,-8.0,-7.055270863836019,0.9341862517044999
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,ecCount (threshold mask),66.0,165.57575757575756,131.0,141.12121212121212,110.0,24.484848484848484,17.0,-24.454545454545453,-17.0,-14.769399707174232,0.8592177013422819
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,JQ1,24.0,ecSeg,66.0,165.57575757575756,131.0,39.57575757575758,31.5,126.0,99.0,-126.0,-99.0,-76.09809663250367,0.20644479857688175
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,Classic (after opt),95.0,192.33684210526314,150.0,179.78947368421052,147.0,42.67368421052632,29.0,-12.547368421052632,-5.0,-6.523642732049037,0.96875
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,Label Engine,95.0,192.33684210526314,150.0,190.85263157894738,151.0,16.936842105263157,11.0,-1.4842105263157894,-4.0,-0.7716725043782837,0.9682539682539683
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,MIA,95.0,192.33684210526314,150.0,186.98947368421054,146.0,15.74736842105263,11.0,-5.347368421052631,-6.0,-2.780210157618214,0.9659090909090909
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,ecCount (peaks),95.0,192.33684210526314,150.0,194.41052631578947,148.0,10.305263157894737,6.0,2.0736842105263156,0.0,1.078152364273205,1.0
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,ecCount (threshold mask),95.0,192.33684210526314,150.0,181.69473684210527,141.0,17.86315789473684,12.0,-10.642105263157895,-6.0,-5.533056042031523,0.9586776859504132
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,P/S,,ecSeg,95.0,192.33684210526314,150.0,167.01052631578946,136.0,43.305263157894736,33.0,-25.326315789473686,-22.0,-13.167688266199653,0.8578947368421053
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,Classic (after opt),64.0,221.828125,162.0,199.890625,152.5,46.375,23.0,-21.9375,-3.0,-9.889413256321758,0.9808529945553539
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,Label Engine,64.0,221.828125,162.0,217.390625,156.0,13.59375,8.5,-4.4375,-4.0,-2.0004226244981336,0.9709220852017937
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,MIA,64.0,221.828125,162.0,216.59375,156.0,11.640625,5.5,-5.234375,-3.0,-2.3596534479115308,0.9860700137440375
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,ecCount (peaks),64.0,221.828125,162.0,225.359375,161.0,9.25,5.5,3.53125,1.0,1.5918856096358385,1.003197004608295
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,ecCount (threshold mask),64.0,221.828125,162.0,210.5625,155.5,18.359375,7.0,-11.265625,-3.5,-5.078537719236459,0.9725826193390452
NCI-H2170,NCI-H2170 · P/S+G,ncih2170_antibiotics_ps_g,treated,P/S+G,,ecSeg,64.0,221.828125,162.0,179.171875,137.5,48.65625,32.5,-42.65625,-30.0,-19.229414665070085,0.8211333269249255
