subset,contrast,cell_line,model,batch_matched,n_treated,n_control,median_treated,median_control,median_diff,log2_fc,log2_fc_lo,log2_fc_hi,cliffs_delta,p_mwu,sig_005,gt_log2fc,gt_sig,log2fc_error,direction_agrees,sig_agrees
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Ground truth,False,66,77,131.0,280.0,-149.0,-1.0929379713164904,-1.4077593765856955,-0.7399691467294128,-0.6052735143644234,4.782672665254402e-10,True,-1.0929379713164904,True,0.0,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecCount (peaks),False,66,77,120.5,279.0,-158.5,-1.2078412355685957,-1.5703896996338838,-0.8538142331502643,-0.6471861471861472,2.787297017027677e-11,True,-1.0929379713164904,True,-0.114903264252105,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecCount (threshold mask),False,66,77,110.0,259.0,-149.0,-1.2316881689664492,-1.5718888624560063,-0.8739991327629273,-0.6680440771349863,6.3257225226033186e-12,True,-1.0929379713164904,True,-0.1387501976499587,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Label Engine,False,66,77,103.0,271.0,-168.0,-1.3913214303050363,-1.8158350064293565,-1.0453239905094902,-0.7203856749311295,1.257723297303753e-13,True,-1.0929379713164904,True,-0.2983834589885459,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,MIA,False,66,77,90.5,255.0,-164.5,-1.4893848407389252,-1.8695240219649067,-1.195513554926483,-0.7406532861078315,2.5541366050882145e-14,True,-1.0929379713164904,True,-0.3964468694224348,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Classic (after opt),False,66,77,116.0,214.0,-98.0,-0.8806476928452652,-1.201675104600128,-0.5773693513989259,-0.5444706808343172,2.1371471743469565e-08,True,-1.0929379713164904,True,0.2122902784712251,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecSeg,False,66,77,31.5,64.0,-32.5,-1.0112272554232542,-1.6824283101567736,-0.6121147588309188,-0.4033844942935852,3.3384682904174606e-05,True,-1.0929379713164904,True,0.0817107158932362,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Ground truth,False,72,77,128.5,280.0,-151.5,-1.1206297051855387,-1.4238572001688536,-0.6946596691350787,-0.659992784992785,3.7060520792586295e-12,True,-1.1206297051855387,True,0.0,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,ecCount (peaks),False,72,77,124.0,279.0,-155.0,-1.1667025407751093,-1.50820840056183,-0.8767522249615269,-0.7043650793650794,1.2140786772923965e-13,True,-1.1206297051855387,True,-0.0460728355895705,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,ecCount (threshold mask),False,72,77,112.0,259.0,-147.0,-1.2058095371408435,-1.517637653021736,-0.9215180033524394,-0.7377344877344877,8.065458353489335e-15,True,-1.1206297051855387,True,-0.0851798319553049,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Label Engine,False,72,77,104.5,271.0,-166.5,-1.3705628701382389,-1.7015833527954214,-1.1128940564059335,-0.7864357864357865,1.2381193378878655e-16,True,-1.1206297051855387,True,-0.2499331649527001,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,MIA,False,72,77,80.5,255.0,-174.5,-1.6573294780529968,-2.025505543461212,-1.42083271115378,-0.8501082251082251,3.5565160939935644e-19,True,-1.1206297051855387,True,-0.5366997728674581,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Classic (after opt),False,72,77,110.5,214.0,-103.5,-0.9504179711494396,-1.3494042213744004,-0.7391209785529671,-0.7117604617604618,6.715512067256666e-14,True,-1.1206297051855387,True,0.1702117340360991,True,True
