filename,file_type,size_kb,path
fig7a_headline_contrast.png,png,263.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7a_headline_contrast.png
fig7a_headline_contrast.svg,svg,131.5,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7a_headline_contrast.svg
fig7a_snu16_jq1_burden_by_method.png,png,265.1,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7a_snu16_jq1_burden_by_method.png
fig7a_snu16_jq1_burden_by_method.svg,svg,125.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7a_snu16_jq1_burden_by_method.svg
fig7b_effect_recovery.png,png,260.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7b_effect_recovery.png
fig7b_effect_recovery.svg,svg,66.2,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7b_effect_recovery.svg
fig7c_recovery_vs_density.png,png,178.0,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7c_recovery_vs_density.png
fig7c_recovery_vs_density.svg,svg,17.5,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7c_recovery_vs_density.svg
fig7d_agreement_matrix.png,png,192.1,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7d_agreement_matrix.png
fig7d_agreement_matrix.svg,svg,42.5,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7d_agreement_matrix.svg
fig7e_mae_bias_heatmaps.png,png,687.1,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7e_mae_bias_heatmaps.png
fig7e_mae_bias_heatmaps.svg,svg,127.2,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7e_mae_bias_heatmaps.svg
fig7f_bias_significance.png,png,380.9,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7f_bias_significance.png
fig7f_bias_significance.svg,svg,76.7,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig7f_bias_significance.svg
fig8a_roi_validation_overview.png,png,202.8,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8a_roi_validation_overview.png
fig8a_roi_validation_overview.svg,svg,179.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8a_roi_validation_overview.svg
fig8b_roi_loss_by_burden.png,png,151.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8b_roi_loss_by_burden.png
fig8b_roi_loss_by_burden.svg,svg,51.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8b_roi_loss_by_burden.svg
fig8c_roi_cost_to_eccount.png,png,204.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8c_roi_cost_to_eccount.png
fig8c_roi_cost_to_eccount.svg,svg,55.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8c_roi_cost_to_eccount.svg
fig8d_roi_worst_cases.png,png,270.8,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8d_roi_worst_cases.png
fig8d_roi_worst_cases.svg,svg,299.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/figures/fig8d_roi_worst_cases.svg
bias_shift_treated_vs_control.csv,csv,7.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/bias_shift_treated_vs_control.csv
condition_inventory.csv,csv,2.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/condition_inventory.csv
condition_map.csv,csv,2.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/condition_map.csv
drug_condition_inventory.csv,csv,1.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/drug_condition_inventory.csv
eccount_manual_vs_predicted_roi_per_image.csv,csv,665.7,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/eccount_manual_vs_predicted_roi_per_image.csv
eccount_roi_cost_summary.csv,csv,1.2,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/eccount_roi_cost_summary.csv
error_by_condition_and_method.csv,csv,17.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/error_by_condition_and_method.csv
error_significance_by_condition.csv,csv,16.2,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/error_significance_by_condition.csv
heatmap_bias_by_condition.csv,csv,1.3,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/heatmap_bias_by_condition.csv
heatmap_mae_by_condition.csv,csv,1.2,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/heatmap_mae_by_condition.csv
heatmap_relative_bias_pct_by_condition.csv,csv,1.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/heatmap_relative_bias_pct_by_condition.csv
method_agreement_summary.csv,csv,0.9,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/method_agreement_summary.csv
recovery_fraction_by_density.csv,csv,0.5,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/recovery_fraction_by_density.csv
roi_loss_by_burden_heldout.csv,csv,0.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/roi_loss_by_burden_heldout.csv
roi_validation_by_cell_line.csv,csv,1.3,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/roi_validation_by_cell_line.csv
roi_validation_per_image.csv,csv,284.1,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/roi_validation_per_image.csv
roi_validation_summary.csv,csv,0.6,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/roi_validation_summary.csv
roi_worst_cases_heldout.csv,csv,2.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/roi_worst_cases_heldout.csv
source_per_image_counts_6models.csv,csv,615.3,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/source_per_image_counts_6models.csv
source_per_image_counts_drug_conditions.csv,csv,765.4,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/source_per_image_counts_drug_conditions.csv
treatment_contrasts_by_method.csv,csv,21.1,/proj/brunk_ecdna_cv_project/Poorya/Notebooks-reruning/tables/treatment_contrasts_by_method.csv
