contrast,cell_line,model,batch_matched,n_treated,n_control,bias_treated,bias_control,bias_shift,MAE_treated,MAE_control,p_bias_shift,q_bias_shift,shift_significant
SNU16 JQ1 24 h,SNU16,ecCount (peaks),True,50,72,5.18,-12.569444444444445,17.749444444444443,19.02,18.73611111111111,1.1217021440171339e-05,6.730212864102803e-05,True
SNU16 JQ1 24 h,SNU16,ecCount (threshold mask),True,50,72,-8.02,-25.09722222222222,17.077222222222222,21.78,27.708333333333332,3.3618131364121636e-05,0.00016809065682060818,True
SNU16 JQ1 24 h,SNU16,Classic (after opt),True,50,72,-3.78,-0.1527777777777778,-3.627222222222222,27.02,63.59722222222222,0.3149591505789049,0.9448774517367147,False
SNU16 JQ1 24 h,SNU16,Label Engine,True,50,72,-134.14,-76.58333333333333,-57.55666666666666,134.42,107.16666666666667,0.0007077243116715887,0.0028308972466863547,True
SNU16 JQ1 24 h,SNU16,MIA,True,50,72,-158.72,-162.55555555555554,3.835555555555544,159.36,162.83333333333334,0.6942785013873001,1.0,False
SNU16 JQ1 24 h,SNU16,ecSeg,True,50,72,-241.82,-263.5,21.680000000000007,241.82,263.5,0.6209043604362481,1.0,False
H2170 JQ1 24 h,NCI-H2170,ecCount (peaks),False,66,77,-11.681818181818182,0.14285714285714285,-11.824675324675324,12.712121212121213,10.03896103896104,1.9269260032038208e-07,9.634630016019104e-07,True
H2170 JQ1 24 h,NCI-H2170,ecCount (threshold mask),False,66,77,-24.454545454545453,-20.454545454545453,-4.0,24.484848484848484,22.064935064935064,0.09674310979849052,0.09674310979849052,False
H2170 JQ1 24 h,NCI-H2170,Classic (after opt),False,66,77,-22.484848484848484,-76.28571428571429,53.80086580086581,43.15151515151515,76.8051948051948,5.8102486516654366e-08,3.486149190999262e-07,True
H2170 JQ1 24 h,NCI-H2170,Label Engine,False,66,77,-30.818181818181817,-9.805194805194805,-21.01298701298701,31.12121212121212,22.818181818181817,3.4578777022260504e-06,1.037363310667815e-05,True
H2170 JQ1 24 h,NCI-H2170,MIA,False,66,77,-48.621212121212125,-26.12987012987013,-22.491341991341994,48.71212121212121,34.883116883116884,1.763811210228292e-05,3.527622420456584e-05,True
H2170 JQ1 24 h,NCI-H2170,ecSeg,False,66,77,-126.0,-229.66233766233765,103.66233766233765,126.0,229.66233766233765,4.468657079006901e-07,1.7874628316027605e-06,True
H2170 lapatinib 24 h,NCI-H2170,ecCount (peaks),False,72,77,-8.680555555555555,0.14285714285714285,-8.823412698412698,11.375,10.03896103896104,6.098796040799811e-06,1.8296388122399433e-05,True
H2170 lapatinib 24 h,NCI-H2170,ecCount (threshold mask),False,72,77,-21.86111111111111,-20.454545454545453,-1.4065656565656575,22.166666666666668,22.064935064935064,0.24183757279652995,0.24183757279652995,False
H2170 lapatinib 24 h,NCI-H2170,Classic (after opt),False,72,77,-33.361111111111114,-76.28571428571429,42.92460317460318,47.27777777777778,76.8051948051948,5.086621788046443e-05,0.00010173243576092885,True
H2170 lapatinib 24 h,NCI-H2170,Label Engine,False,72,77,-29.65277777777778,-9.805194805194805,-19.847582972582973,29.90277777777778,22.818181818181817,1.8568517700387491e-06,7.4274070801549965e-06,True
H2170 lapatinib 24 h,NCI-H2170,MIA,False,72,77,-57.263888888888886,-26.12987012987013,-31.134018759018755,57.263888888888886,34.883116883116884,5.2037778887772216e-08,3.122266733266333e-07,True
H2170 lapatinib 24 h,NCI-H2170,ecSeg,False,72,77,-120.72222222222223,-229.66233766233765,108.94011544011542,120.72222222222223,229.66233766233765,3.3302526620601873e-07,1.6651263310300937e-06,True
H2170 neratinib 24 h,NCI-H2170,ecCount (peaks),False,16,77,2.75,0.14285714285714285,2.607142857142857,11.25,10.03896103896104,0.654016987240809,1.0,False
H2170 neratinib 24 h,NCI-H2170,ecCount (threshold mask),False,16,77,-15.3125,-20.454545454545453,5.142045454545453,24.4375,22.064935064935064,0.628563455824239,1.0,False
H2170 neratinib 24 h,NCI-H2170,Classic (after opt),False,16,77,-32.25,-76.28571428571429,44.03571428571429,56.25,76.8051948051948,0.012093492069509913,0.06046746034754956,False
H2170 neratinib 24 h,NCI-H2170,Label Engine,False,16,77,-32.1875,-9.805194805194805,-22.382305194805195,37.8125,22.818181818181817,0.016724554353829413,0.06689821741531765,False
H2170 neratinib 24 h,NCI-H2170,MIA,False,16,77,-58.0625,-26.12987012987013,-31.93262987012987,64.9375,34.883116883116884,0.006977668558737595,0.04186601135242557,True
H2170 neratinib 24 h,NCI-H2170,ecSeg,False,16,77,-156.1875,-229.66233766233765,73.47483766233765,156.1875,229.66233766233765,0.029371767605751654,0.08811530281725496,False
H2170 neratinib 72 h,NCI-H2170,ecCount (peaks),False,8,77,4.75,0.14285714285714285,4.607142857142857,10.25,10.03896103896104,0.7863295241316152,1.0,False
H2170 neratinib 72 h,NCI-H2170,ecCount (threshold mask),False,8,77,-52.125,-20.454545454545453,-31.670454545454547,54.875,22.064935064935064,0.5419991134849489,1.0,False
H2170 neratinib 72 h,NCI-H2170,Classic (after opt),False,8,77,-147.75,-76.28571428571429,-71.46428571428571,147.75,76.8051948051948,0.7864375504151073,1.0,False
H2170 neratinib 72 h,NCI-H2170,Label Engine,False,8,77,-34.0,-9.805194805194805,-24.194805194805195,34.0,22.818181818181817,0.008804770057562791,0.044023850287813956,True
H2170 neratinib 72 h,NCI-H2170,MIA,False,8,77,-102.5,-26.12987012987013,-76.37012987012987,106.5,34.883116883116884,0.0032522313221432287,0.019513387932859373,True
H2170 neratinib 72 h,NCI-H2170,ecSeg,False,8,77,-322.75,-229.66233766233765,-93.08766233766235,322.75,229.66233766233765,0.5776004467253748,1.0,False
H2170 antibiotics P/S,NCI-H2170,ecCount (peaks),True,95,94,2.0736842105263156,8.51063829787234,-6.436954087346025,10.305263157894737,11.425531914893616,0.0012545430145943597,0.006272715072971799,True
H2170 antibiotics P/S,NCI-H2170,ecCount (threshold mask),True,95,94,-10.642105263157895,-6.425531914893617,-4.216573348264277,17.86315789473684,14.063829787234043,0.37639681357857746,1.0,False
H2170 antibiotics P/S,NCI-H2170,Classic (after opt),True,95,94,-12.547368421052632,5.968085106382978,-18.51545352743561,42.67368421052632,50.58510638297872,0.025917652128278457,0.10367060851311383,False
H2170 antibiotics P/S,NCI-H2170,Label Engine,True,95,94,-1.4842105263157894,-2.5319148936170213,1.0477043673012318,16.936842105263157,11.425531914893616,0.7046092575112957,1.0,False
H2170 antibiotics P/S,NCI-H2170,MIA,True,95,94,-5.347368421052631,3.25531914893617,-8.602687569988802,15.74736842105263,12.063829787234043,8.518135142147422e-05,0.0005110881085288453,True
H2170 antibiotics P/S,NCI-H2170,ecSeg,True,95,94,-25.326315789473686,-23.77659574468085,-1.549720044792835,43.305263157894736,34.351063829787236,0.9342894531857415,1.0,False
H2170 antibiotics P/S+G,NCI-H2170,ecCount (peaks),True,64,94,3.53125,8.51063829787234,-4.97938829787234,9.25,11.425531914893616,0.008218927832013456,0.04109463916006728,True
H2170 antibiotics P/S+G,NCI-H2170,ecCount (threshold mask),True,64,94,-11.265625,-6.425531914893617,-4.840093085106383,18.359375,14.063829787234043,0.6953841858611858,0.6953841858611858,False
H2170 antibiotics P/S+G,NCI-H2170,Classic (after opt),True,64,94,-21.9375,5.968085106382978,-27.90558510638298,46.375,50.58510638297872,0.01788972239446801,0.05366916718340403,False
H2170 antibiotics P/S+G,NCI-H2170,Label Engine,True,64,94,-4.4375,-2.5319148936170213,-1.9055851063829787,13.59375,11.425531914893616,0.253128982914144,0.506257965828288,False
H2170 antibiotics P/S+G,NCI-H2170,MIA,True,64,94,-5.234375,3.25531914893617,-8.48969414893617,11.640625,12.063829787234043,0.002532180985466322,0.015193085912797933,True
