cell_line,cond,n_full,median_gt,mean_gt,n_benchmark,n_no_predictions
COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,120,39.5,46.55833333333333,59,61
COLO320DM,colo320dm_qpcr_jq1_24h_dmso,105,3.0,3.895238095238095,5,100
NCI-H2170,ncih2170_post_facs_fish_low_her2_g3,122,181.5,188.22131147540983,12,110
NCI-H2170,ncih2170_antibiotics_blank_ctrl,120,244.0,256.9166666666667,94,26
NCI-H2170,ncih2170_jc_lap_ic50_24h,120,146.0,163.025,72,48
NCI-H2170,ncih2170_antibiotics_ps,116,153.0,198.86206896551724,95,21
NCI-H2170,ncih2170_facs_fish_0423_low_her2,116,101.0,109.18103448275862,48,68
NCI-H2170,ncih2170_jc_ner_ic50_72h,116,252.5,308.86206896551727,8,108
NCI-H2170,ncih2170_jc_jq1_ic50_24h,107,133.0,159.49532710280374,66,41
NCI-H2170,ncih2170_jc_ner_ic50_24h,102,130.0,160.84313725490196,16,86
NCI-H2170,ncih2170_facs_fish_0723_low_her2,101,95.0,111.07920792079207,57,44
NCI-H2170,ncih2170_post_facs_fish_high_her2_g3,101,150.0,189.5742574257426,5,96
NCI-H2170,ncih2170_cart_72h_nt_ctrl,98,139.5,169.08163265306123,55,43
NCI-H2170,ncih2170_facs_fish_0723_sorted_ctrl,98,182.5,205.8673469387755,45,53
NCI-H2170,ncih2170_cart_72h_blank_ctrl,97,132.0,141.659793814433,37,60
NCI-H2170,ncih2170_cart_72h_cart,92,84.5,119.96739130434783,42,50
NCI-H2170,ncih2170_antibiotics_ps_g,84,177.5,225.79761904761904,64,20
NCI-H2170,ncih2170_facs_fish_0723_high_her2,84,292.5,334.92857142857144,52,32
NCI-H2170,ncih2170_ctrl_2,66,280.5,309.6060606060606,44,22
NCI-H2170,ncih2170_ctrl_1,62,265.5,316.88709677419354,33,29
NCI-H2170,ncih2170_facs_fish_0723_pre_sort_ctrl,36,203.0,229.83333333333334,16,20
NCI-H2170,ncih2170_facs_fish_0223_low_her2,24,41.0,63.583333333333336,6,18
NCI-H2170,ncih2170_facs_fish_0223_high_her2,20,124.5,150.15,15,5
NCI-H2170,ncih2170_facs_fish_0423_high_her2,6,180.5,200.66666666666666,5,1
NCI-H2170,ncih2170_antibiotics_ps_11_a_unfinished,1,49.0,49.0,0,1
NCI-H2170,ncih2170_jc_lap_ic50_24h_29f,1,101.0,101.0,1,0
NCI-H2170,ncih2170_jc_ner_ic50_72h_2_micro,1,409.0,409.0,0,1
NCI-H716,ncih716_jc_ctrl_1,63,179.0,195.6031746031746,29,34
NCI-H716,ncih716_jc_ctrl_2,58,176.5,203.51724137931035,35,23
NCI-H716,ncih716_jc_alo_8nm_24h,18,207.0,213.5,6,12
SNU16,snu16_jc_ctrl,140,289.0,334.52142857142854,72,68
SNU16,snu16_jc_jq1_ic50_24h,128,257.5,291.5,50,78
SNU16,snu16_jc_arv771_800picom_24h,4,217.0,217.5,1,3
SNU16,snu16_jc_ctrl_22tif,1,494.0,494.0,0,1
SUM159PT,sum159pt_dc_dmso_72hr,119,4.0,5.352941176470588,0,119
SUM159PT,sum159pt_dc_jq1_24hr,119,3.0,4.0,0,119
SUM159PT,sum159pt_dc_ctrl,116,4.5,6.387931034482759,0,116
SUM159PT,sum159pt_dc_jq1_72hr,103,3.0,2.9902912621359223,0,103
SUM159PT,sum159pt_dc_ctrl_p13_2,1,0.0,0.0,0,1
