cell_line,cond,agent,timepoint_h,arm,confirmed,n_full,median_gt,n_benchmark,n_extension
COLO320DM,colo320dm_qpcr_jq1_24h_dmso,JQ1,24.0,DMSO,True,105,3.0,5,100
COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,JQ1,24.0,control,True,120,39.5,59,61
NCI-H2170,ncih2170_antibiotics_blank_ctrl,control,,control,True,120,244.0,94,26
NCI-H2170,ncih2170_ctrl_2,control,,control,False,66,280.5,44,22
NCI-H2170,ncih2170_ctrl_1,control,,control,False,62,265.5,33,29
NCI-H2170,ncih2170_jc_lap_ic50_24h,lapatinib,24.0,treated,False,120,146.0,72,48
NCI-H2170,ncih2170_antibiotics_ps,P/S,,treated,False,116,153.0,95,21
NCI-H2170,ncih2170_jc_ner_ic50_72h,neratinib,72.0,treated,False,116,252.5,8,108
NCI-H2170,ncih2170_jc_jq1_ic50_24h,JQ1,24.0,treated,True,107,133.0,66,41
NCI-H2170,ncih2170_jc_ner_ic50_24h,neratinib,24.0,treated,False,102,130.0,16,86
NCI-H2170,ncih2170_antibiotics_ps_g,P/S+G,,treated,False,84,177.5,64,20
NCI-H2170,ncih2170_jc_lap_ic50_24h_29f,lapatinib,24.0,treated,False,1,101.0,1,0
NCI-H716,ncih716_jc_ctrl_1,control,,control,True,63,179.0,29,34
NCI-H716,ncih716_jc_ctrl_2,control,,control,True,58,176.5,35,23
NCI-H716,ncih716_jc_alo_8nm_24h,ALO,24.0,treated,False,18,207.0,6,12
SNU16,snu16_jc_ctrl,control,,control,True,140,289.0,72,68
SNU16,snu16_jc_jq1_ic50_24h,JQ1,24.0,treated,True,128,257.5,50,78
SNU16,snu16_jc_arv771_800picom_24h,ARV-771,24.0,treated,True,4,217.0,1,3
SUM159PT,sum159pt_dc_dmso_72hr,DMSO,72.0,DMSO,True,119,4.0,0,119
SUM159PT,sum159pt_dc_ctrl,control,,control,True,116,4.5,0,116
SUM159PT,sum159pt_dc_jq1_24hr,JQ1,24.0,treated,True,119,3.0,0,119
SUM159PT,sum159pt_dc_jq1_72hr,JQ1,72.0,treated,True,103,3.0,0,103
