uid,model,split_manual,cell_line_manual,obj_f1_manual,obj_precision_manual,obj_recall_manual,pred_count_manual,gt_count_manual,pix_dice_manual,split_pred,cell_line_pred,obj_f1_pred,obj_precision_pred,obj_recall_pred,pred_count_pred,gt_count_pred,pix_dice_pred,split,subset,delta_obj_f1,delta_pred_ct,delta_gt_ct
colo320dm_qpcr_jq1_24h_ctrl_100,ecCount (peaks),train,COLO320DM,0.9421487603305784,0.9827586206727112,0.9047619047475436,65,63,0.2283653846153846,train,COLO320DM,0.926829268292683,0.9499999999841668,0.9047619047475436,67,63,0.2493985565356856,train,train (SEEN by ROI model),-0.0153194920378954,2,0
colo320dm_qpcr_jq1_24h_ctrl_101,ecCount (peaks),train,COLO320DM,0.9361702127659576,0.8979591836551437,0.9777777777560496,51,45,0.2483974358974359,train,COLO320DM,0.9361702127659576,0.8979591836551437,0.9777777777560496,51,45,0.289247311827957,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_103,ecCount (peaks),train,COLO320DM,0.9743589743589745,0.9743589743339908,0.9743589743339908,40,39,0.2726387536514119,train,COLO320DM,0.9743589743589745,0.9743589743339908,0.9743589743339908,40,39,0.311877903118779,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_105,ecCount (peaks),val,COLO320DM,0.9298245614035088,0.9636363636188432,0.8983050847305373,55,59,0.2631578947368421,val,COLO320DM,0.9391304347826088,0.964285714268495,0.9152542372726228,56,59,0.2962621135209968,val,val+test (held out),0.00930587337910005,1,0
colo320dm_qpcr_jq1_24h_ctrl_109,ecCount (peaks),val,COLO320DM,0.8,0.9795918367147024,0.6760563380186471,51,71,0.1904161412358133,val,COLO320DM,0.8,0.9795918367147024,0.6760563380186471,51,71,0.2274795268425841,val,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_110,ecCount (peaks),train,COLO320DM,0.9629629629629628,0.9629629629272975,0.9629629629272975,28,27,0.2937062937062937,train,COLO320DM,0.9285714285714286,0.8965517241070154,0.9629629629272975,30,27,0.326975476839237,train,train (SEEN by ROI model),-0.034391534391534195,2,0
colo320dm_qpcr_jq1_24h_ctrl_111,ecCount (peaks),train,COLO320DM,0.9685534591194968,0.9746835442914596,0.9624999999879688,82,80,0.231718898385565,train,COLO320DM,0.9681528662420382,0.9743589743464826,0.9620253164435186,80,79,0.2741988767756855,train,train (SEEN by ROI model),-0.0004005928774585277,-2,-1
colo320dm_qpcr_jq1_24h_ctrl_112,ecCount (peaks),train,COLO320DM,0.968944099378882,0.9999999999871796,0.9397590361332558,79,83,0.2241215574548908,train,COLO320DM,0.968944099378882,0.9999999999871796,0.9397590361332558,79,83,0.2626064178127046,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_114,ecCount (peaks),test,COLO320DM,0.9560975609756096,0.9999999999897958,0.91588785045873,101,107,0.2241124260355029,test,COLO320DM,0.9547738693467336,0.9999999999894736,0.9134615384527552,98,104,0.2703840084166228,test,val+test (held out),-0.0013236916288760225,-3,-3
colo320dm_qpcr_jq1_24h_ctrl_12,ecCount (peaks),train,COLO320DM,0.9090909090909092,0.8823529411245675,0.9374999999414062,19,16,0.2945054945054945,train,COLO320DM,0.9090909090909092,0.8823529411245675,0.9374999999414062,19,16,0.3455344070278184,train,train (SEEN by ROI model),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_17,ecCount (peaks),val,COLO320DM,0.8,0.8333333332638889,0.7692307691715976,16,13,0.0795755968169761,val,COLO320DM,0.8,0.8333333332638889,0.7692307691715976,16,13,0.1124780316344463,val,val+test (held out),0.0,0,0
colo320dm_qpcr_jq1_24h_ctrl_18,ecCount (peaks),train,COLO320DM,0.9484536082474226,0.999999999978261,0.90196078429604,49,51,0.2923076923076923,train,COLO320DM,0.9591836734693876,0.9999999999787236,0.9215686274329103,50,51,0.3261892315734448,train,train (SEEN by ROI model),0.010730065221964957,1,0
