cell_line,group_label,cond,arm,model,n_images,mean_abs_error,mean_signed_error,p_bias_vs_zero,p_ae_vs_eccount,q_bias_vs_zero,q_ae_vs_eccount,bias_significant,worse_than_eccount
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,ecCount (peaks),59,3.406779661016949,-0.8305084745762712,0.47171972501237824,,0.47171972501237824,1.0,False,False
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,ecCount (threshold mask),59,3.6610169491525424,-2.0677966101694913,0.004122671219770838,0.21594085772564897,0.012368013659312515,0.43188171545129794,True,False
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,Classic (after opt),59,7.677966101694915,2.7966101694915255,0.025197543042402896,2.649397084209995e-07,0.05039508608480579,1.040357312378247e-06,False,True
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,Label Engine,59,11.796610169491526,-8.135593220338983,3.974495298347563e-06,5.473709535000511e-09,1.5897981193390253e-05,2.7368547675002557e-08,True,True
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,MIA,59,9.983050847457626,-8.389830508474576,7.397374723512301e-08,2.6008932809456174e-07,3.6986873617561506e-07,1.040357312378247e-06,True,True
COLO320DM,COLO320DM · JQ1 24 h,colo320dm_qpcr_jq1_24h_ctrl,control,ecSeg,59,39.96610169491525,-39.05084745762712,5.821823484924575e-11,2.5714813759402157e-11,3.4930940909547455e-10,1.5428888255641294e-10,True,True
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,ecCount (peaks),66,12.712121212121213,-11.681818181818182,5.152885993757435e-10,,1.030577198751487e-09,1.0,True,False
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,ecCount (threshold mask),66,24.484848484848484,-24.454545454545453,5.392744859018372e-12,6.956450984860261e-11,1.6178234577055116e-11,2.1260345108018022e-10,True,True
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,Classic (after opt),66,43.15151515151515,-22.484848484848484,0.00014634384784118659,9.560612924568824e-10,0.00014634384784118659,1.912122584913765e-09,True,True
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,Label Engine,66,31.12121212121212,-30.818181818181817,2.636721302622399e-12,5.3150862770045056e-11,1.0546885210489595e-11,2.1260345108018022e-10,True,True
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,MIA,66,48.71212121212121,-48.621212121212125,1.7123610405223267e-12,3.323285968623529e-12,9.824011635859063e-12,1.6616429843117646e-11,True,True
NCI-H2170,NCI-H2170 · JQ1 IC50 24 h,ncih2170_jc_jq1_ic50_24h,treated,ecSeg,66,126.0,-126.0,1.6373352726431773e-12,1.6379723617685002e-12,9.824011635859063e-12,9.827834170611002e-12,True,True
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,ecCount (peaks),95,10.305263157894737,2.0736842105263156,0.5518894520290658,,0.5518894520290658,1.0,False,False
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,ecCount (threshold mask),95,17.86315789473684,-10.642105263157895,2.3769862834489013e-05,0.0007862497011490372,0.00011884931417244506,0.0016689723637663008,True,True
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,Classic (after opt),95,42.67368421052632,-12.547368421052632,0.11886183662783126,5.423126419755724e-12,0.23772367325566252,2.711563209877862e-11,False,True
NCI-H2170,NCI-H2170 · P/S,ncih2170_antibiotics_ps,treated,Label Engine,95,16.936842105263157,-1.4842105263157894,0.05171051469107112,0.00031803435954370885,0.15513154407321336,0.0012721374381748354,False,True
