uid,cell_line,split,roi_dice,roi_recall,roi_precision,area_ratio,n_in_manual,ecdna_lost,pct_lost,ecdna_retention
ncih2170_antibiotics_ps_g_107_a,NCI-H2170,test,0.0624501662913191,0.0789870729309592,0.0516389273308832,1.5296032860024218,103,96,93.20388349514565,0.06796116504854369
ncih2170_antibiotics_ps_34_c,NCI-H2170,val,0.1638018474738326,0.1903619943157358,0.1437457983372052,1.324296059556303,156,144,92.3076923076923,0.07692307692307693
ncih2170_antibiotics_ps_29_b,NCI-H2170,val,0.4158451696327707,0.5260281196649952,0.3438265429078454,1.5299229524754423,52,37,71.15384615384616,0.28846153846153844
colo320dm_qpcr_jq1_24h_ctrl_87_a,COLO320DM,test,0.3017790443668177,0.4447961096195735,0.2283551145790964,1.9478263512486704,31,18,58.064516129032256,0.41935483870967744
snu16_jc_ctrl_9,SNU16,val,0.387875690695966,0.2405991203391845,1.0,0.2405991203391845,179,67,37.43016759776536,0.6256983240223464
ncih2170_facs_fish_0723_low_her2_12,NCI-H2170,val,0.7833912914902822,0.6804355560798431,0.9230578627585602,0.7371537403368843,104,31,29.807692307692307,0.7019230769230769
ncih2170_antibiotics_ps_113_a,NCI-H2170,val,0.5058990834934383,0.6867243920095141,0.4004534153141054,1.71486711249763,121,34,28.09917355371901,0.71900826446281
ncih716_jc_ctrl_2_11,NCI-H716,test,0.7948391672390279,0.6850972522383452,0.9464449083956932,0.7238638468663168,139,38,27.33812949640288,0.7266187050359713
ncih2170_cart_72h_blank_ctrl_59,NCI-H2170,test,0.721638614083609,0.5742969896554263,0.9706749638027172,0.591647061139354,55,14,25.454545454545453,0.7454545454545455
colo320dm_qpcr_jq1_24h_dmso_88,COLO320DM,val,0.8927234500189472,0.8169006477148499,0.9840617541960216,0.8301314874108258,4,1,25.0,0.75
ncih2170_antibiotics_ps_107_a,NCI-H2170,test,0.4620557533817668,0.5933143076759533,0.3783529632616736,1.5681502863388692,248,56,22.580645161290324,0.7741935483870968
ncih2170_antibiotics_ps_56_a,NCI-H2170,test,0.4572506256249444,0.6195772315341556,0.3623234254333523,1.7100115202132409,233,47,20.17167381974249,0.7982832618025751
ncih716_jc_ctrl_1_19,NCI-H716,val,0.6609154724012635,0.5049819067645402,0.9561723009053406,0.528128566667748,209,40,19.138755980861244,0.8086124401913876
ncih2170_facs_fish_0723_high_her2_11,NCI-H2170,val,0.7398265443751693,0.6126387591645107,0.9336605351749852,0.6561686352628056,860,158,18.37209302325581,0.8162790697674419
ncih2170_antibiotics_ps_64,NCI-H2170,val,0.728165097976479,0.6050983572184624,0.9140717943042714,0.661981215249095,285,48,16.842105263157894,0.8315789473684211
