uid,split,cell_line,cond,model,gt_count,pred_count
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),63,65
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),45,51
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),39,40
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),59,55
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),71,51
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),27,28
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),80,82
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),83,79
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),107,101
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),16,19
colo320dm_qpcr_jq1_24h_ctrl_17,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),13,16
colo320dm_qpcr_jq1_24h_ctrl_18,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),51,49
colo320dm_qpcr_jq1_24h_ctrl_21,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),40,40
colo320dm_qpcr_jq1_24h_ctrl_22,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),65,52
colo320dm_qpcr_jq1_24h_ctrl_23,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),57,56
colo320dm_qpcr_jq1_24h_ctrl_25,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),53,54
colo320dm_qpcr_jq1_24h_ctrl_26,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),22,22
colo320dm_qpcr_jq1_24h_ctrl_27,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),18,15
colo320dm_qpcr_jq1_24h_ctrl_28,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),35,31
colo320dm_qpcr_jq1_24h_ctrl_3,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),144,146
colo320dm_qpcr_jq1_24h_ctrl_31,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),143,148
colo320dm_qpcr_jq1_24h_ctrl_33,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),24,20
colo320dm_qpcr_jq1_24h_ctrl_35,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),57,52
colo320dm_qpcr_jq1_24h_ctrl_36,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),59,54
colo320dm_qpcr_jq1_24h_ctrl_37,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),12,9
colo320dm_qpcr_jq1_24h_ctrl_38,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),41,40
colo320dm_qpcr_jq1_24h_ctrl_39,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),41,49
colo320dm_qpcr_jq1_24h_ctrl_4,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),46,47
colo320dm_qpcr_jq1_24h_ctrl_41,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),101,90
colo320dm_qpcr_jq1_24h_ctrl_43,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),44,43
colo320dm_qpcr_jq1_24h_ctrl_47,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),22,26
colo320dm_qpcr_jq1_24h_ctrl_48,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),32,31
colo320dm_qpcr_jq1_24h_ctrl_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),74,67
colo320dm_qpcr_jq1_24h_ctrl_50,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),7,5
colo320dm_qpcr_jq1_24h_ctrl_55,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),34,36
colo320dm_qpcr_jq1_24h_ctrl_58,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),15,15
colo320dm_qpcr_jq1_24h_ctrl_65,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),30,27
