uid,split,cell_line,cond,model,pred_count,gt_count,experiment,agent,dose,timepoint_h,arm,batch_group,confirmed,group_label
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),65,63,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),51,45,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),40,39,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),55,59,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),51,71,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),28,27,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),82,80,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),79,83,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),101,107,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),19,16,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_17,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),16,13,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_18,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),49,51,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_21,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),40,40,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_22,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),52,65,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_23,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),56,57,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_25,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),54,53,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_26,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),22,22,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_27,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),15,18,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_28,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),31,35,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_3,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),146,144,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_31,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),148,143,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_33,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),20,24,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_35,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),52,57,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_36,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),54,59,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_37,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),9,12,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_38,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),40,41,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_39,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),49,41,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_4,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),47,46,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_41,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),90,101,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_43,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),43,44,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_47,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),26,22,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_48,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),31,32,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),67,74,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_50,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),5,7,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_55,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),36,34,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_58,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),15,15,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_65,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),27,30,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_66_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),58,61,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_67,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),93,91,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_69,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),45,54,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_72,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),36,37,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_75,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),48,47,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_78_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),30,26,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_78_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),52,52,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_79,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),11,10,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_8,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),38,36,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
colo320dm_qpcr_jq1_24h_ctrl_81,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (peaks),61,59,drug,JQ1,,24.0,control,colo_jq1,True,COLO320DM · JQ1 24 h
