subset,contrast,cell_line,model,batch_matched,n_treated,n_control,median_treated,median_control,median_diff,log2_fc,log2_fc_lo,log2_fc_hi,cliffs_delta,p_mwu,sig_005,gt_log2fc,gt_sig,log2fc_error,direction_agrees,sig_agrees
all benchmark drug images,SNU16 JQ1 24 h,SNU16,Ground truth,True,50,72,229.0,255.0,-26.0,-0.1548291375238134,-0.46861335161520323,0.11260388315701177,-0.14805555555555555,0.16612267463986352,False,-0.1548291375238134,False,0.0,True,True
all benchmark drug images,SNU16 JQ1 24 h,SNU16,ecCount (peaks),True,50,72,225.5,241.0,-15.5,-0.09570041642058552,-0.3277438259859892,0.25537362305236105,-0.0575,0.5918141239123444,False,-0.1548291375238134,False,0.059128721103227866,True,True
all benchmark drug images,SNU16 JQ1 24 h,SNU16,ecCount (threshold mask),True,50,72,217.0,234.0,-17.0,-0.10857252177928597,-0.3372438266218063,0.23149455113535994,-0.06666666666666667,0.5338670826150222,False,-0.1548291375238134,False,0.04625661574452741,True,True
all benchmark drug images,SNU16 JQ1 24 h,SNU16,Classic (after opt),True,50,72,223.5,246.5,-23.0,-0.14101230952707353,-0.48727902720602634,0.17296278520035857,-0.15138888888888888,0.15677447497938526,False,-0.1548291375238134,False,0.013816827996739861,True,True
all benchmark drug images,SNU16 JQ1 24 h,SNU16,Label Engine,True,50,72,106.5,184.5,-78.0,-0.7899144741151652,-1.2687783883685977,-0.46107696575449286,-0.5083333333333333,1.9273774461254177e-06,True,-0.1548291375238134,False,-0.6350853365913518,True,False
all benchmark drug images,SNU16 JQ1 24 h,SNU16,MIA,True,50,72,82.0,115.5,-33.5,-0.49165878088175646,-0.8924573274712659,-0.012655300806028984,-0.3408333333333333,0.0014161951516452713,True,-0.1548291375238134,False,-0.3368296433579431,True,False
all benchmark drug images,SNU16 JQ1 24 h,SNU16,ecSeg,True,50,72,13.5,31.0,-17.5,-1.1699250014423124,-1.921997487998727,-0.6110963831910068,-0.4752777777777778,8.50579172526101e-06,True,-0.1548291375238134,False,-1.015095863918499,True,False
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Ground truth,False,66,77,131.0,280.0,-149.0,-1.0929379713164904,-1.4077593765856957,-0.7399691467294128,-0.6052735143644234,4.782672665254403e-10,True,-1.0929379713164904,True,0.0,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecCount (peaks),False,66,77,120.5,279.0,-158.5,-1.2078412355685955,-1.5703896996338838,-0.8538142331502643,-0.6471861471861472,2.7872970170276766e-11,True,-1.0929379713164904,True,-0.11490326425210506,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecCount (threshold mask),False,66,77,110.0,259.0,-149.0,-1.2316881689664492,-1.5718888624560063,-0.8739991327629273,-0.6680440771349863,6.325722522603319e-12,True,-1.0929379713164904,True,-0.13875019764995877,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Classic (after opt),False,66,77,116.0,214.0,-98.0,-0.8806476928452652,-1.201675104600128,-0.5773693513989259,-0.5444706808343172,2.1371471743469565e-08,True,-1.0929379713164904,True,0.21229027847122517,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,Label Engine,False,66,77,103.0,271.0,-168.0,-1.3913214303050363,-1.8158350064293565,-1.0453239905094902,-0.7203856749311295,1.257723297303753e-13,True,-1.0929379713164904,True,-0.2983834589885459,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,MIA,False,66,77,90.5,255.0,-164.5,-1.4893848407389252,-1.8695240219649067,-1.195513554926483,-0.7406532861078315,2.5541366050882145e-14,True,-1.0929379713164904,True,-0.3964468694224348,True,True
all benchmark drug images,H2170 JQ1 24 h,NCI-H2170,ecSeg,False,66,77,31.5,64.0,-32.5,-1.0112272554232542,-1.6824283101567736,-0.6121147588309188,-0.4033844942935852,3.3384682904174606e-05,True,-1.0929379713164904,True,0.0817107158932362,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,Ground truth,False,72,77,128.5,280.0,-151.5,-1.1206297051855387,-1.4238572001688536,-0.6946596691350787,-0.659992784992785,3.70605207925863e-12,True,-1.1206297051855387,True,0.0,True,True
all benchmark drug images,H2170 lapatinib 24 h,NCI-H2170,ecCount (peaks),False,72,77,124.0,279.0,-155.0,-1.1667025407751093,-1.50820840056183,-0.8767522249615269,-0.7043650793650794,1.2140786772923965e-13,True,-1.1206297051855387,True,-0.04607283558957054,True,True
