uid,split,cell_line,density_bin,model,pred_exists,gt_path,pred_path,obj_tp,obj_fp,obj_fn,obj_ignored,obj_precision,obj_recall,obj_f1,pred_count,gt_count,count_abs_error,count_ape,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,cand_pairs,cand_preds,cand_gts
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_100.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_100.png,35,30,28,0,0.5384615384532544,0.5555555555467372,0.546875,65,63,2.0,3.1746031746031744,190,655,629,5012030,0.22485207100591717,0.231990231990232,0.22836538461538466,0.12890094979647218,0.2283653846153846,35,35,35
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_101.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_101.png,30,21,15,0,0.5882352941061131,0.6666666666518519,0.625,51,45,6.0,13.333333333333334,155,508,430,5012411,0.23378582202111614,0.26495726495726496,0.24839743589743588,0.14181152790484905,0.2483974358974359,30,30,30
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_103.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_103.png,26,14,13,0,0.64999999998375,0.6666666666495727,0.6582278481012658,40,39,1.0,2.5641025641025643,140,380,367,5012617,0.2692307692307692,0.27613412228796846,0.2726387536514119,0.15783540022547915,0.2726387536514119,26,26,26
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_105.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_105.png,37,18,22,0,0.6727272727150414,0.6271186440571676,0.6491228070175439,55,59,4.0,6.779661016949152,195,520,572,5012217,0.2727272727272727,0.2542372881355932,0.2631578947368421,0.15151515151515152,0.2631578947368421,37,37,37
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_109.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_109.png,29,22,42,0,0.5686274509692426,0.4084507042195993,0.47540983606557374,51,71,20.0,28.169014084507044,151,512,772,5012069,0.2277526395173454,0.1635969664138678,0.19041614123581335,0.10522648083623694,0.19041614123581338,29,29,29
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_110.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_110.png,20,8,7,0,0.714285714260204,0.7407407407133059,0.7272727272727273,28,27,1.0,3.7037037037037037,105,259,246,5012894,0.28846153846153844,0.29914529914529914,0.29370629370629375,0.1721311475409836,0.2937062937062937,20,20,20
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_111.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_111.png,47,35,33,0,0.5731707317003272,0.5874999999926562,0.5802469135802469,82,80,2.0,2.5,244,822,796,5011642,0.22889305816135083,0.23461538461538461,0.23171889838556506,0.1310418904403867,0.23171889838556506,47,47,47
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_112.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_112.png,48,31,35,0,0.6075949367011697,0.5783132530050805,0.5925925925925926,79,83,4.0,4.819277108433735,236,791,843,5011634,0.22979552093476144,0.21872103799814643,0.2241215574548908,0.12620320855614972,0.2241215574548908,48,48,48
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_114.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_114.png,60,41,47,0,0.5940594059347123,0.5607476635461612,0.5769230769230769,101,107,6.0,5.607476635514018,303,1010,1088,5011103,0.23076923076923078,0.21782890007189074,0.22411242603550297,0.12619741774260726,0.22411242603550297,60,60,60
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_12.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_12.png,11,8,5,0,0.5789473683905817,0.6874999999570313,0.6285714285714286,19,16,3.0,18.75,67,180,141,5013116,0.27125506072874495,0.32211538461538464,0.29450549450549457,0.17268041237113402,0.2945054945054945,11,11,11
