model,density_bin,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
ecCount (peaks),0-9,7,12,156,21,0,168,33,0.07142857142857142,0.36363636363636365,0.11940298507462686,77,2107,364,35091980,0.035256410256410256,0.1746031746031746,0.058666666666666666,0.03021978021978022,0.058666666666666666,20.142857142857142,16.2,450.0,28.452968712797414,19.285714285714285,-0.723374682192592,-0.6304883249912805
ecCount (peaks),10-49,79,1882,854,793,0,2736,2675,0.6878654970760234,0.7035514018691589,0.6956200332655701,11188,24380,23587,396007661,0.3145524066576698,0.321725377426312,0.3180984604011771,0.18913025103541545,0.31809846040117706,3.2025316455696204,2.776315789473684,6.666666666666667,4.656559277384694,0.7721518987341772,0.9209508097659649,0.9150719335410598
ecCount (peaks),50-149,450,30927,13673,13752,6,44606,44679,0.6934304932735426,0.6922043913247835,0.6928168998308672,181627,398251,400305,2255096617,0.3132158833409786,0.31211034966284723,0.31266213924824193,0.18529907170395732,0.312662139248242,8.393333333333333,6.665105386416862,5.976190476190476,13.41450293111485,-0.1622222222222222,0.8963117372595514,0.9121752555195697
ecCount (peaks),150-299,403,60681,25392,25364,16,86089,86045,0.7049945976090063,0.7052240106920797,0.7051092854901869,354572,764585,765950,2018557005,0.3168206069389728,0.31643466170231377,0.3166275167111001,0.18809117997015554,0.3166275167111001,14.794044665012407,12.168,4.9079754601226995,22.11687879298126,0.10918114143920596,0.8867307666778628,0.9072116717203411
ecCount (peaks),300+,206,68206,26627,26401,14,94847,94607,0.7192222116773697,0.720940310970647,0.7200802364864864,404498,828513,827811,1030721002,0.3280570895150165,0.32824397127668464,0.3281505037885548,0.19627993101781716,0.3281505037885548,23.689320388349515,20.5752688172043,3.7343585104779136,34.299933482343725,1.1650485436893203,0.9807654372522807,0.9525722805041134
ecCount (threshold mask),0-9,7,13,154,20,0,167,33,0.07784431137724551,0.3939393939393939,0.13,142,6974,299,35087113,0.019955030916245082,0.3219954648526077,0.037581050681487364,0.019150370869858394,0.037581050681487364,20.0,16.0,450.0,28.26911489846927,19.142857142857142,-0.725834588378341,-0.6304883249912805
ecCount (threshold mask),10-49,79,2067,612,608,0,2679,2675,0.7715565509518477,0.7727102803738318,0.7721329846843481,23650,92698,11125,395939343,0.20326950183930967,0.6800862688713156,0.31299008092745645,0.18552948467518612,0.31299008092745645,3.088607594936709,2.6710526315789473,6.666666666666667,4.474965525643321,0.05063291139240506,0.9201622611438209,0.9110672460706778
ecCount (threshold mask),50-149,450,33172,9733,11507,0,42905,44679,0.7731499825195198,0.7424517110946978,0.7574899525027402,396245,1565323,185687,2253929545,0.2020042129561657,0.6809128901658613,0.3115746019264793,0.18453560476049655,0.31157460192647923,9.462222222222222,7.796252927400468,7.304369918699187,14.037885247508694,-3.942222222222222,0.8884123271924937,0.9055967265016147
ecCount (threshold mask),150-299,403,64511,17323,21534,0,81834,86045,0.7883153701395508,0.749735603463304,0.7685416281964986,791812,3159576,328710,2016162014,0.20038831924376954,0.7066456526511751,0.3122342470588004,0.18499856778980295,0.3122342470588003,18.166253101736974,16.192307692307693,6.584362139917696,25.08541240706946,-10.449131513647643,0.866841058163585,0.8838501798265274
ecCount (threshold mask),300+,206,69723,17631,24884,0,87354,94607,0.7981660828353596,0.7369750652700118,0.7663510312649414,926417,3824075,305892,1027725440,0.19501495845061942,0.7517732971194725,0.3096934028058095,0.18321729520542743,0.30969340280580954,42.40291262135922,37.19786096256684,7.62587603757642,58.0100008117114,-35.20873786407767,0.9694851676442637,0.9315428622031547
