model,split,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
ecCount (peaks),train,800,115505,46771,46732,24,162300,162237,0.7117811629569376,0.7119522673619458,0.7118667048777707,681013,1428887,1432006,4007261294,0.32277027347267645,0.3222938364491753,0.32253187901543934,0.19227303039662827,0.32253187901543934,13.05625,10.207894736842105,5.16352648418059,21.544459844702537,0.07875,0.9912657768918826,0.9865902303753895
ecCount (peaks),val,170,22870,9315,9304,4,32189,32174,0.7105794624825229,0.7108224031826941,0.7107009120713498,134631,283826,284281,851592942,0.3217319820196579,0.3213825338018486,0.3215571629711632,0.19158064598755156,0.32155716297116327,13.170588235294117,9.987577639751553,5.434782608695652,21.7805903879362,0.08823529411764706,0.9893157078667225,0.9821796399699042
ecCount (peaks),test,175,23333,10616,10295,8,33957,33628,0.6872956493563875,0.6938563102176758,0.6905603977684716,136318,305123,301730,876620029,0.3088023088023088,0.31119420702754036,0.3099936440364803,0.1834275018804555,0.3099936440364803,13.308571428571428,10.626506024096386,5.555555555555555,20.821005876620987,1.88,0.9892256481118873,0.9816370881726211
ecCount (threshold mask),train,800,120962,31579,41275,0,152541,162237,0.7929802479333425,0.7455882443585619,0.7685543462376659,1528382,6135010,584637,4002555171,0.19943936053382105,0.7233167330724428,0.31266729682293426,0.18530269474076777,0.3126672968229343,18.295,14.614010989010989,7.142857142857143,31.102773188254453,-12.12,0.9873773996502695,0.9845334424394697
ecCount (threshold mask),val,170,23870,6493,8304,0,30363,32174,0.7861542008365445,0.7419034002610804,0.7633880742600381,298910,1202030,120002,850674738,0.19914853358561968,0.7135388816744328,0.31138858620351983,0.18440511751808517,0.31138858620351983,17.523529411764706,13.478260869565217,6.85179917508178,28.085688212200555,-10.652941176470588,0.9866461841097425,0.980339698088638
ecCount (threshold mask),test,175,24654,7381,8974,0,32035,33628,0.7695957546433588,0.7331390507910075,0.75092517856327,310974,1311606,127074,875613546,0.19165403246681212,0.7099085031777339,0.30182449233922864,0.17773456923483158,0.30182449233922864,17.617142857142856,14.70440251572327,7.291666666666667,27.74094446842068,-9.102857142857143,0.9849167814113524,0.9789697547830394
MIA,train,800,68774,59936,93463,6,128716,162237,0.5343329966591562,0.42391069854595437,0.4727596435089552,803691,5011956,1309328,4003678225,0.13819459812467985,0.3803519987278865,0.20273044671070772,0.11279913262853554,0.2027304467107077,48.74625,38.49375866851595,18.805253851982826,89.01959756143587,-41.90125,0.8745719687338576,0.8632062483318925
MIA,val,170,14318,11121,17856,1,25440,32174,0.5628365894885805,0.4450177161683347,0.4970405984760384,166393,982286,252519,850894482,0.14485596062955794,0.39720275380032083,0.21229134385180828,0.11875052633532163,0.21229134385180828,45.258823529411764,35.90909090909091,16.4004914004914,75.9883117947212,-39.61176470588235,0.8999510410247826,0.8108457353228542
MIA,test,175,15584,11789,18044,0,27373,33628,0.5693201329777517,0.46342333769477817,0.5109424435664989,184000,1072289,254048,875852863,0.1464631147769343,0.42004529184016365,0.2171941001111349,0.12182711540536979,0.2171941001111349,40.394285714285715,31.0920245398773,19.41747572815534,69.28710455158924,-35.74285714285714,0.9062608584408975,0.8937241996648649
Label Engine,train,800,80655,58419,81582,6,139080,162237,0.5799430519004272,0.4971430684738993,0.5353604747254498,825382,3762819,1287637,4004927362,0.17989229329752554,0.39061740571192216,0.24633783102181395,0.14047051671608374,0.24633783102181395,36.39125,27.320905459387482,13.083012409071458,71.75227348314478,-28.94625,0.9141624978284631,0.918463531810159
