uid,split,cell_line,density_bin,model,pred_exists,gt_path,pred_path,obj_tp,obj_fp,obj_fn,obj_ignored,obj_precision,obj_recall,obj_f1,pred_count,gt_count,count_abs_error,count_ape,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,cand_pairs,cand_preds,cand_gts
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_100.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_100.png,57,1,6,7,0.9827586206727111,0.9047619047475435,0.9421487603305785,65,63,2.0,3.1746031746031744,190,655,629,5012030,0.22485207100591717,0.231990231990232,0.22836538461538466,0.12890094979647218,0.2283653846153846,82,64,61
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_101.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_101.png,44,5,1,2,0.8979591836551437,0.9777777777560495,0.9361702127659575,51,45,6.0,13.333333333333334,155,508,430,5012411,0.23378582202111614,0.26495726495726496,0.24839743589743588,0.14181152790484905,0.2483974358974359,55,46,45
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_103.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_103.png,38,1,1,1,0.9743589743339909,0.9743589743339909,0.9743589743589743,40,39,1.0,2.5641025641025643,140,380,367,5012617,0.2692307692307692,0.27613412228796846,0.2726387536514119,0.15783540022547915,0.2726387536514119,46,39,38
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_105.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_105.png,53,2,6,0,0.9636363636188431,0.8983050847305373,0.9298245614035088,55,59,4.0,6.779661016949152,195,520,572,5012217,0.2727272727272727,0.2542372881355932,0.2631578947368421,0.15151515151515152,0.2631578947368421,66,53,57
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_109.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_109.png,48,1,23,2,0.9795918367147023,0.6760563380186471,0.8,51,71,20.0,28.169014084507044,151,512,772,5012069,0.2277526395173454,0.1635969664138678,0.19041614123581335,0.10522648083623694,0.19041614123581338,66,50,54
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_110.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_110.png,26,1,1,1,0.9629629629272977,0.9629629629272977,0.9629629629629629,28,27,1.0,3.7037037037037037,105,259,246,5012894,0.28846153846153844,0.29914529914529914,0.29370629370629375,0.1721311475409836,0.2937062937062937,32,27,26
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_111.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_111.png,77,2,3,3,0.9746835442914596,0.9624999999879688,0.9685534591194969,82,80,2.0,2.5,244,822,796,5011642,0.22889305816135083,0.23461538461538461,0.23171889838556506,0.1310418904403867,0.23171889838556506,125,80,78
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_112.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_112.png,78,0,5,1,0.9999999999871795,0.9397590361332558,0.968944099378882,79,83,4.0,4.819277108433735,236,791,843,5011634,0.22979552093476144,0.21872103799814643,0.2241215574548908,0.12620320855614972,0.2241215574548908,122,79,82
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,50-149,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_114.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_114.png,98,0,9,3,0.9999999999897958,0.91588785045873,0.9560975609756097,101,107,6.0,5.607476635514018,303,1010,1088,5011103,0.23076923076923078,0.21782890007189074,0.22411242603550297,0.12619741774260726,0.22411242603550297,157,101,105
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,10-49,ecCount (peaks),1,/work/users/b/e/behnamie/ecDNA_Data/bioimage_archive/gt_image/colo320dm_qpcr_jq1_24h_ctrl_12.tif,/work/users/b/e/behnamie/ecDNA_Data/benchmark/predictions/eccount_peaks/colo320dm_qpcr_jq1_24h_ctrl_12.png,15,2,1,2,0.8823529411245675,0.9374999999414062,0.9090909090909091,19,16,3.0,18.75,67,180,141,5013116,0.27125506072874495,0.32211538461538464,0.29450549450549457,0.17268041237113402,0.2945054945054945,27,17,16
