model,cell_line,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
ecCount (peaks),COLO320DM,64,2680,234,263,115,3029,2943,0.9196980096087852,0.9106354060482501,0.9151442718115076,9424,29953,28847,320796032,0.23932752622089037,0.2462438922421677,0.24273645167937358,0.13813320825515948,0.24273645167937358,5.28125,3.3333333333333335,5.612727081801953,10.5,1.34375,0.9407560939230908,0.89941933051379
ecCount (peaks),NCI-H2170,888,164056,6804,12827,6332,177192,176883,0.9601779234460962,0.9274831385718243,0.9435473898827582,715719,1587777,1588323,4448099733,0.3107098948728368,0.3106362644430961,0.31067307529530963,0.1839034651919835,0.3106730752953096,12.823198198198199,9.840047393364928,4.8792364627970395,21.712831968033836,0.34797297297297297,0.9906283694179022,0.9834053888919161
ecCount (peaks),NCI-H716,70,12709,658,631,663,14030,13340,0.9507742949053639,0.9526986506746626,0.951735500056165,60707,121683,112856,350650034,0.33284171281320246,0.3497692480540207,0.34109559408124107,0.2056149786957317,0.34109559408124107,13.657142857142857,12.96875,6.51135805774981,17.208801734660586,9.857142857142858,0.9857509058145592,0.9649779927268843
ecCount (peaks),SNU16,123,31715,1434,3158,1046,34195,34873,0.9567407764940119,0.9094428354314226,0.9324924289200552,166112,278423,287991,615928466,0.37367586354280313,0.3658024721263678,0.36969725295391465,0.22676601240092503,0.3696972529539147,18.959349593495936,16.79090909090909,5.8201058201058204,25.72714867337204,-5.512195121951219,0.9893572737113451,0.9798507306279373
ecCount (threshold mask),COLO320DM,64,2635,233,308,87,2955,2943,0.9187587168758717,0.8953448861705743,0.9069007055584237,22380,114688,15891,320711297,0.1632766218227449,0.5847769851846045,0.2552769207078859,0.1463137180551651,0.2552769207078859,5.5,3.5833333333333335,8.303968132373218,10.706306552681928,0.1875,0.9382361094904503,0.8967049580833896
ecCount (threshold mask),NCI-H2170,888,155317,6610,21566,3961,165888,176883,0.9591791362774583,0.8780775993170626,0.9168383459756205,1645619,6918241,658423,4442769269,0.19215855934123163,0.7142313377967936,0.3028402354014602,0.17843943847743557,0.3028402354014602,18.561936936936938,14.983910891089108,7.291666666666667,30.785274208752927,-12.381756756756756,0.9863633947014608,0.980910712366335
ecCount (threshold mask),NCI-H716,70,12385,650,955,431,13466,13340,0.9501342539317222,0.9284107946026986,0.9391469194312796,130137,484915,43426,350286802,0.211586987766888,0.7497969037179584,0.3300393728245088,0.19763302646405803,0.3300393728245088,10.628571428571428,9.015625,4.923605034663796,14.679431674479577,1.8,0.9825636747278974,0.9663370670013279
ecCount (threshold mask),SNU16,123,30481,1430,4392,719,32630,34873,0.9551878662530162,0.8740572936082356,0.9128234307618591,340130,1130802,113973,615076087,0.23123434665912496,0.7490150912898615,0.35337539317466954,0.21460592275246781,0.35337539317466954,25.357723577235774,19.94736842105263,7.749077490774908,38.11290458538891,-18.235772357723576,0.9858789835133827,0.9780027539695331
MIA,COLO320DM,64,2080,406,863,73,2559,2943,0.8366854384553499,0.7067618076792389,0.7662552956345552,12901,102951,25370,320723034,0.11135759417187446,0.3370959734524836,0.16741174256924665,0.09135262211270198,0.16741174256924665,11.03125,9.862068965517242,22.97347089167281,14.379890472461883,-6.0,0.9051980488417781,0.8415694192612537
MIA,NCI-H2170,888,139526,11148,37357,4339,155013,176883,0.926012450721425,0.7888038986222531,0.8519189026642692,1031078,6100504,1272964,4443587006,0.14457914106575512,0.44750833535152573,0.21855003972180326,0.12268098717051462,0.21855003972180323,32.346846846846844,26.633495145631066,13.060200668896321,49.927627802830955,-24.62837837837838,0.960854400989088,0.9246463996208667
