model,split,n_images,obj_tp,obj_fp,obj_fn,obj_ignored,pred_count,gt_count,obj_precision,obj_recall,obj_f1,pix_tp,pix_fp,pix_fn,pix_tn,pix_precision,pix_recall,pix_f1,pix_iou,pix_dice,count_mae,count_trimmed_mae,count_mdape,count_rmse,count_bias,count_pearson_r,count_spearman_rho
ecCount (peaks),train,800,150402,6214,11835,5684,162300,162237,0.9603233386116361,0.9270511658869431,0.9433939777891379,681013,1428887,1432006,4007261294,0.32277027347267645,0.3222938364491753,0.32253187901543934,0.19227303039662827,0.32253187901543934,13.05625,10.207894736842105,5.16352648418059,21.544459844702537,0.07875,0.9912657768918826,0.9865902303753895
ecCount (peaks),val,170,29621,1371,2553,1197,32189,32174,0.9557627774909654,0.9206502144588798,0.9378779723268847,134631,283826,284281,851592942,0.3217319820196579,0.3213825338018486,0.3215571629711632,0.19158064598755156,0.32155716297116327,13.170588235294117,9.987577639751553,5.434782608695652,21.7805903879362,0.08823529411764706,0.9893157078667225,0.9821796399699042
ecCount (peaks),test,175,31137,1545,2491,1275,33957,33628,0.9527262713420231,0.9259248245509695,0.9391343688734731,136318,305123,301730,876620029,0.3088023088023088,0.31119420702754036,0.3099936440364803,0.1834275018804555,0.3099936440364803,13.308571428571428,10.626506024096386,5.555555555555555,20.821005876620987,1.88,0.9892256481118873,0.9816370881726211
ecCount (threshold mask),train,800,142920,6061,19317,3560,152541,162237,0.9593169598807901,0.8809334492131882,0.9184558733749333,1528382,6135010,584637,4002555171,0.19943936053382105,0.7233167330724428,0.31266729682293426,0.18530269474076777,0.3126672968229343,18.295,14.614010989010989,7.142857142857143,31.102773188254453,-12.12,0.9873773996502695,0.9845334424394697
ecCount (threshold mask),val,170,28224,1350,3950,789,30363,32174,0.9543517954960439,0.8772300615403742,0.9141672604780722,298910,1202030,120002,850674738,0.19914853358561968,0.7135388816744328,0.31138858620351983,0.18440511751808517,0.31138858620351983,17.523529411764706,13.478260869565217,6.85179917508178,28.085688212200555,-10.652941176470588,0.9866461841097425,0.980339698088638
ecCount (threshold mask),test,175,29674,1512,3954,849,32035,33628,0.9515167062143269,0.8824194123944332,0.9156663683772025,310974,1311606,127074,875613546,0.19165403246681212,0.7099085031777339,0.30182449233922864,0.17773456923483158,0.30182449233922864,17.617142857142856,14.70440251572327,7.291666666666667,27.74094446842068,-9.102857142857143,0.9849167814113524,0.9789697547830394
MIA,train,800,114594,10498,47643,3624,128716,162237,0.9160777667636619,0.7063370254627489,0.7976500805696606,803691,5011956,1309328,4003678225,0.13819459812467985,0.3803519987278865,0.20273044671070772,0.11279913262853554,0.2027304467107077,48.74625,38.49375866851595,18.805253851982826,89.01959756143587,-41.90125,0.8745719687338576,0.8632062483318925
MIA,val,170,22798,1981,9376,661,25440,32174,0.9200532709148876,0.7085845713930503,0.8005899601425737,166393,982286,252519,850894482,0.14485596062955794,0.39720275380032083,0.21229134385180828,0.11875052633532163,0.21229134385180828,45.258823529411764,35.90909090909091,16.4004914004914,75.9883117947212,-39.61176470588235,0.8999510410247826,0.8108457353228542
MIA,test,175,24482,2136,9146,755,27373,33628,0.9197535502291683,0.7280242654930416,0.8127344553995286,184000,1072289,254048,875852863,0.1464631147769343,0.42004529184016365,0.2171941001111349,0.12182711540536979,0.2171941001111349,40.394285714285715,31.0920245398773,19.41747572815534,69.28710455158924,-35.74285714285714,0.9062608584408975,0.8937241996648649
Label Engine,train,800,122828,12542,39409,3710,139080,162237,0.907350225308414,0.757089936327718,0.8254375737129839,825382,3762819,1287637,4004927362,0.17989229329752554,0.39061740571192216,0.24633783102181395,0.14047051671608374,0.24633783102181395,36.39125,27.320905459387482,13.083012409071458,71.75227348314478,-28.94625,0.9141624978284631,0.918463531810159
Label Engine,val,170,24039,2408,8135,652,27099,32174,0.9089499754225432,0.7471560887673276,0.8201497756776581,164789,716956,254123,851159812,0.18688963362423378,0.39337378733481015,0.25339347729647405,0.14507759704472703,0.253393477296474,36.029411764705884,28.18831168831169,14.017543859649123,61.575252859455496,-29.852941176470587,0.9321285042583929,0.8587348154257921
Label Engine,test,175,25498,2689,8130,739,28926,33628,0.904601411998439,0.7582371832996313,0.8249777562080401,172219,781884,265829,876143268,0.1805035724654466,0.39315097888815836,0.24741425319523525,0.14117098330070857,0.2474142531952353,34.36571428571428,27.49375,13.114754098360656,57.61507739174827,-26.86857142857143,0.9319411498194701,0.925825781542255
