model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,f1
Classic (after opt),test,and,5.0,0.0,19477,11067,14151,47,0.6376702462022001,0.5791899607469966,0.607024870660101
Classic (after opt),test,and,5.0,0.05,18161,12396,15467,34,0.5943319043099781,0.5400559057927917,0.5658954584404456
Classic (after opt),test,and,5.0,0.1,14161,16417,19467,13,0.4631107332068808,0.4211074104912573,0.44111142260847896
Classic (after opt),test,and,5.0,0.2,7122,23465,26506,4,0.23284401870075522,0.21178779588438207,0.2218173323989722
Classic (after opt),test,and,5.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,5.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,5.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,10.0,0.0,21727,8798,11901,66,0.7117772317772317,0.6460984893541096,0.6773494614437361
Classic (after opt),test,and,10.0,0.05,18925,11628,14703,38,0.6194154420187871,0.5627750683953848,0.5897383960985338
Classic (after opt),test,and,10.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,10.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,10.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,10.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,10.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,15.0,0.0,21864,8659,11764,68,0.7163122890934704,0.6501724753181872,0.6816417514925722
Classic (after opt),test,and,15.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,15.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,15.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,15.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,15.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,15.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,20.0,0.0,21938,8581,11690,72,0.7188308922310692,0.6523730224812656,0.6839914571219231
Classic (after opt),test,and,20.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,20.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,20.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,20.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,20.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,20.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,25.0,0.0,22001,8516,11627,74,0.7209424255333093,0.6542464612822648,0.6859770831709409
Classic (after opt),test,and,25.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,25.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,25.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,25.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,25.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,25.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,30.0,0.0,22024,8493,11604,74,0.7216961038109906,0.6549304151302486,0.6866942084340166
Classic (after opt),test,and,30.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,30.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,30.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,30.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,30.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,30.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,40.0,0.0,22037,8476,11591,78,0.7222167600694785,0.6553169977399785,0.6871423894233017
Classic (after opt),test,and,40.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,40.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,40.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,40.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,40.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,40.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,50.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,and,50.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,50.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,50.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,50.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,50.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,50.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,75.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,and,75.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,75.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,75.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,75.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,75.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,75.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,and,100.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,and,100.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,and,100.0,0.1,14223,16353,19405,15,0.4651687598116169,0.42295111216843106,0.44305650738271757
Classic (after opt),test,and,100.0,0.2,7122,23463,26506,6,0.23285924472780775,0.21178779588438207,0.22182424119726535
Classic (after opt),test,and,100.0,0.3,3732,26857,29896,2,0.12200464219163752,0.11097894611633163,0.11623090458912749
Classic (after opt),test,and,100.0,0.4,2019,28572,31609,0,0.06599980386388153,0.060039253003449505,0.06287858733396658
Classic (after opt),test,and,100.0,0.5,1141,29450,32487,0,0.03729855186165866,0.0339300582847627,0.035534654852925146
Classic (after opt),test,or,5.0,0.0,22481,7876,11147,234,0.7405540731956386,0.6685202807184489,0.7026959443619598
Classic (after opt),test,or,5.0,0.05,20688,9702,12940,201,0.6807502467917078,0.6152016176995361,0.6463182229997814
Classic (after opt),test,or,5.0,0.1,19985,10408,13643,198,0.6575527259566347,0.5942964196502915,0.6243263929023289
Classic (after opt),test,or,5.0,0.2,19927,10466,13701,198,0.6556443918007436,0.5925716664684192,0.6225144874338108
