run,held_out_cell_line,epoch,train_loss,val_loss,lr
holdout_colo320dm,COLO320DM,1.0,1.18128,1.12249,0.0001
holdout_colo320dm,COLO320DM,2.0,1.087562,1.058394,0.0001
holdout_colo320dm,COLO320DM,3.0,1.035512,1.014611,0.0001
holdout_colo320dm,COLO320DM,4.0,0.99232,0.973336,0.0001
holdout_colo320dm,COLO320DM,5.0,0.940998,0.91111,0.0001
holdout_colo320dm,COLO320DM,6.0,0.86499,0.82369,0.0001
holdout_colo320dm,COLO320DM,7.0,0.780698,0.744813,0.0001
holdout_colo320dm,COLO320DM,8.0,0.72129,0.701696,0.0001
holdout_colo320dm,COLO320DM,9.0,0.691945,0.693039,0.0001
holdout_colo320dm,COLO320DM,10.0,0.677451,0.668846,0.0001
holdout_colo320dm,COLO320DM,11.0,0.668756,0.660636,0.0001
holdout_colo320dm,COLO320DM,12.0,0.66348,0.665119,0.0001
holdout_colo320dm,COLO320DM,13.0,0.660284,0.653448,0.0001
holdout_colo320dm,COLO320DM,14.0,0.657761,0.651195,0.0001
holdout_colo320dm,COLO320DM,15.0,0.655293,0.653462,0.0001
holdout_colo320dm,COLO320DM,16.0,0.655057,0.659013,0.0001
holdout_colo320dm,COLO320DM,17.0,0.652316,0.648332,0.0001
holdout_colo320dm,COLO320DM,18.0,0.653372,0.649488,0.0001
holdout_colo320dm,COLO320DM,19.0,0.651324,0.645848,0.0001
holdout_colo320dm,COLO320DM,20.0,0.65021,0.646978,0.0001
holdout_colo320dm,COLO320DM,21.0,0.649294,0.645516,0.0001
holdout_colo320dm,COLO320DM,22.0,0.648006,0.644396,0.0001
holdout_colo320dm,COLO320DM,23.0,0.647122,0.645237,0.0001
holdout_colo320dm,COLO320DM,24.0,0.648118,0.645759,0.0001
holdout_colo320dm,COLO320DM,25.0,0.646889,0.6427,0.0001
holdout_colo320dm,COLO320DM,26.0,0.64631,0.642696,0.0001
holdout_colo320dm,COLO320DM,27.0,0.644892,0.643678,0.0001
holdout_colo320dm,COLO320DM,28.0,0.645219,0.643808,0.0001
holdout_colo320dm,COLO320DM,29.0,0.645578,0.643602,0.0001
holdout_colo320dm,COLO320DM,30.0,0.644736,0.644271,0.0001
holdout_colo320dm,COLO320DM,31.0,0.644348,0.641716,0.0001
holdout_colo320dm,COLO320DM,32.0,0.643523,0.644624,0.0001
holdout_colo320dm,COLO320DM,33.0,0.643402,0.641524,0.0001
holdout_colo320dm,COLO320DM,34.0,0.643134,0.642859,0.0001
holdout_colo320dm,COLO320DM,35.0,0.642576,0.64115,0.0001
holdout_colo320dm,COLO320DM,36.0,0.642736,0.642019,0.0001
holdout_colo320dm,COLO320DM,37.0,0.642187,0.640499,0.0001
holdout_colo320dm,COLO320DM,38.0,0.641572,0.643015,0.0001
holdout_colo320dm,COLO320DM,39.0,0.641812,0.641372,0.0001
holdout_colo320dm,COLO320DM,40.0,0.640752,0.639948,0.0001
holdout_colo320dm,COLO320DM,41.0,0.640697,0.64055,0.0001
holdout_colo320dm,COLO320DM,42.0,0.641573,0.641553,0.0001
holdout_colo320dm,COLO320DM,43.0,0.640301,0.641733,0.0001
holdout_colo320dm,COLO320DM,44.0,0.640276,0.641409,0.0001
holdout_colo320dm,COLO320DM,45.0,0.640055,0.640087,0.0001
holdout_colo320dm,COLO320DM,46.0,0.641036,0.641343,5e-05
holdout_colo320dm,COLO320DM,47.0,0.636989,0.638743,5e-05
holdout_colo320dm,COLO320DM,48.0,0.636724,0.638553,5e-05
holdout_colo320dm,COLO320DM,49.0,0.636096,0.638483,5e-05
holdout_colo320dm,COLO320DM,50.0,0.635791,0.638331,5e-05
holdout_colo320dm,COLO320DM,51.0,0.635644,0.638207,5e-05
holdout_colo320dm,COLO320DM,52.0,0.635544,0.638556,5e-05
holdout_colo320dm,COLO320DM,53.0,0.634915,0.639308,5e-05
holdout_colo320dm,COLO320DM,54.0,0.634941,0.638161,5e-05
holdout_colo320dm,COLO320DM,55.0,0.634476,0.637956,5e-05
holdout_colo320dm,COLO320DM,56.0,0.634634,0.638773,5e-05
holdout_colo320dm,COLO320DM,57.0,0.634477,0.638483,5e-05
holdout_colo320dm,COLO320DM,58.0,0.633798,0.639354,5e-05
holdout_colo320dm,COLO320DM,59.0,0.63355,0.638934,5e-05
holdout_colo320dm,COLO320DM,60.0,0.633893,0.638323,5e-05
holdout_colo320dm,COLO320DM,61.0,0.633591,0.638268,2.5e-05
holdout_colo320dm,COLO320DM,62.0,0.631651,0.637652,2.5e-05
holdout_colo320dm,COLO320DM,63.0,0.631254,0.637534,2.5e-05
holdout_colo320dm,COLO320DM,64.0,0.631237,0.638177,2.5e-05
holdout_colo320dm,COLO320DM,65.0,0.630563,0.63804,2.5e-05
holdout_colo320dm,COLO320DM,66.0,0.63065,0.637696,2.5e-05
holdout_colo320dm,COLO320DM,67.0,0.630536,0.637898,2.5e-05
holdout_colo320dm,COLO320DM,68.0,0.630337,0.637991,2.5e-05
holdout_colo320dm,COLO320DM,69.0,0.630112,0.638718,1.25e-05
holdout_colo320dm,COLO320DM,70.0,0.629239,0.637683,1.25e-05
holdout_nci_h2170,NCI-H2170,1.0,1.260551,1.208245,0.0001
holdout_nci_h2170,NCI-H2170,2.0,1.192291,1.178135,0.0001
holdout_nci_h2170,NCI-H2170,3.0,1.164927,1.153261,0.0001
holdout_nci_h2170,NCI-H2170,4.0,1.14205,1.132126,0.0001
holdout_nci_h2170,NCI-H2170,5.0,1.121873,1.112358,0.0001
holdout_nci_h2170,NCI-H2170,6.0,1.103786,1.095725,0.0001
holdout_nci_h2170,NCI-H2170,7.0,1.079422,1.071951,0.0001
holdout_nci_h2170,NCI-H2170,8.0,1.064335,1.058029,0.0001
holdout_nci_h2170,NCI-H2170,9.0,1.051262,1.0462,0.0001
holdout_nci_h2170,NCI-H2170,10.0,1.040094,1.035285,0.0001
holdout_nci_h2170,NCI-H2170,11.0,1.02965,1.025261,0.0001
holdout_nci_h2170,NCI-H2170,12.0,1.019201,1.014881,0.0001
holdout_nci_h2170,NCI-H2170,13.0,1.009146,1.00544,0.0001
holdout_nci_h2170,NCI-H2170,14.0,0.999361,0.995211,0.0001
holdout_nci_h2170,NCI-H2170,15.0,0.989614,0.984963,0.0001
holdout_nci_h2170,NCI-H2170,16.0,0.978968,0.975019,0.0001
holdout_nci_h2170,NCI-H2170,17.0,0.967389,0.963073,0.0001
holdout_nci_h2170,NCI-H2170,18.0,0.956238,0.950522,0.0001
holdout_nci_h2170,NCI-H2170,19.0,0.941819,0.936614,0.0001
holdout_nci_h2170,NCI-H2170,20.0,0.928299,0.921673,0.0001
holdout_nci_h2170,NCI-H2170,21.0,0.912447,0.90504,0.0001
holdout_nci_h2170,NCI-H2170,22.0,0.894841,0.884723,0.0001
holdout_nci_h2170,NCI-H2170,23.0,0.875522,0.864996,0.0001
holdout_nci_h2170,NCI-H2170,24.0,0.855292,0.844794,0.0001
holdout_nci_h2170,NCI-H2170,25.0,0.836277,0.82264,0.0001
holdout_nci_h2170,NCI-H2170,26.0,0.81404,0.804022,0.0001
holdout_nci_h2170,NCI-H2170,27.0,0.794117,0.784317,0.0001
holdout_nci_h2170,NCI-H2170,28.0,0.777347,0.767436,0.0001
holdout_nci_h2170,NCI-H2170,29.0,0.75916,0.750386,0.0001
holdout_nci_h2170,NCI-H2170,30.0,0.744864,0.740139,0.0001
holdout_nci_h2170,NCI-H2170,31.0,0.731016,0.727604,0.0001
holdout_nci_h2170,NCI-H2170,32.0,0.720872,0.720816,0.0001
holdout_nci_h2170,NCI-H2170,33.0,0.712567,0.716134,0.0001
holdout_nci_h2170,NCI-H2170,34.0,0.703114,0.702867,0.0001
holdout_nci_h2170,NCI-H2170,35.0,0.695621,0.695192,0.0001
holdout_nci_h2170,NCI-H2170,36.0,0.690193,0.690697,0.0001
holdout_nci_h2170,NCI-H2170,37.0,0.684614,0.686683,0.0001
holdout_nci_h2170,NCI-H2170,38.0,0.678393,0.681788,0.0001
