unique_id,cell_line,split,ecDNA_gt,coord_count_npy,count_source
colo320dm_qpcr_jq1_24h_ctrl_100,COLO320DM,train,63,63,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_101,COLO320DM,train,45,45,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_103,COLO320DM,train,39,39,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_110,COLO320DM,train,27,27,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_111,COLO320DM,train,80,80,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_112,COLO320DM,train,83,83,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_12,COLO320DM,train,16,16,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_18,COLO320DM,train,51,51,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_22,COLO320DM,train,65,65,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_25,COLO320DM,train,53,53,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_26,COLO320DM,train,22,22,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_28,COLO320DM,train,35,35,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_3,COLO320DM,train,144,144,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_36,COLO320DM,train,59,59,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_37,COLO320DM,train,12,12,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_38,COLO320DM,train,41,41,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_4,COLO320DM,train,46,46,gt_mask_cc_conn8_min3
