unique_id,cell_line,gt_mask_relpath,coord_file_relpath,ecDNA_gt,coord_count_npy,count_delta,count_source
colo320dm_qpcr_jq1_24h_ctrl_1,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_1.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_1.npy,129,129,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_10,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_10.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_10.npy,107,107,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_100,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_100.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_100.npy,63,63,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_101,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_101.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_101.npy,45,45,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_102,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_102.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_102.npy,9,9,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_103,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_103.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_103.npy,39,39,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_104,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_104.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_104.npy,73,73,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_105,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_105.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_105.npy,59,59,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_106,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_106.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_106.npy,12,12,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_107,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_107.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_107.npy,8,8,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_108,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_108.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_108.npy,6,6,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_109,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_109.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_109.npy,71,71,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_11,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_11.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_11.npy,4,4,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_110,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_110.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_110.npy,27,27,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_111,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_111.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_111.npy,80,80,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_112,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_112.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_112.npy,83,83,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_113,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_113.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_113.npy,20,20,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_114,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_114.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_114.npy,107,107,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_115,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_115.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_115.npy,15,15,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_12,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_12.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_12.npy,16,16,0,gt_mask_cc_conn8_min3
colo320dm_qpcr_jq1_24h_ctrl_13,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_13.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_13.npy,49,49,0,gt_mask_cc_conn8_min3
