unique_id,cell_line,gt_mask_relpath,coord_file_relpath
colo320dm_qpcr_jq1_24h_ctrl_1,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_1.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_1.npy
colo320dm_qpcr_jq1_24h_ctrl_10,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_10.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_10.npy
colo320dm_qpcr_jq1_24h_ctrl_100,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_100.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_100.npy
colo320dm_qpcr_jq1_24h_ctrl_101,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_101.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_101.npy
colo320dm_qpcr_jq1_24h_ctrl_102,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_102.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_102.npy
colo320dm_qpcr_jq1_24h_ctrl_103,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_103.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_103.npy
colo320dm_qpcr_jq1_24h_ctrl_104,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_104.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_104.npy
colo320dm_qpcr_jq1_24h_ctrl_105,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_105.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_105.npy
colo320dm_qpcr_jq1_24h_ctrl_106,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_106.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_106.npy
colo320dm_qpcr_jq1_24h_ctrl_107,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_107.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_107.npy
colo320dm_qpcr_jq1_24h_ctrl_108,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_108.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_108.npy
colo320dm_qpcr_jq1_24h_ctrl_109,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_109.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_109.npy
colo320dm_qpcr_jq1_24h_ctrl_11,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_11.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_11.npy
colo320dm_qpcr_jq1_24h_ctrl_110,COLO320DM,gt_image/colo320dm_qpcr_jq1_24h_ctrl_110.tif,gt_coords/colo320dm_qpcr_jq1_24h_ctrl_110.npy
